"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Special Education Statu"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",503,500,99.4,499,142,28.5,133,26.7,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",48,48,100.0,48,37,77.1,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",512,510,99.6,510,100,19.6,"*","*","*","*",101,19.8,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",32,31,96.9,31,27,87.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",158,154,97.5,154,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",106,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",339,332,97.9,332,85,25.6,115,34.6,102,30.7,30,9.0,132,39.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",55,54,98.2,54,48,88.9,6,11.1,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",310,310,100.0,310,91,29.4,99,31.9,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",50,50,100.0,50,42,84.0,6,12.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",294,291,99.0,291,76,26.1,92,31.6,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",55,55,100.0,55,38,69.1,14,25.5,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",136,"*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",625,625,100.0,624,124,19.9,214,34.3,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",81,80,98.8,79,58,73.4,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",372,371,99.7,371,86,23.2,118,31.8,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",54,52,96.3,52,37,71.2,10,19.2,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",219,218,99.5,218,16,7.3,53,24.3,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",31,31,100.0,31,15,48.4,11,35.5,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",221,209,94.6,208,19,9.1,"*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",25,23,92.0,22,10,45.5,"*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",495,492,99.4,492,"*","*",49,10.0,219,44.5,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",52,52,100.0,52,"*","*",25,48.1,16,30.8,"*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",243,236,97.1,236,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",224,224,100.0,224,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",503,499,99.2,498,"*","*",50,10.0,189,38.0,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",54,53,98.1,53,20,37.7,"*","*",16,30.2,"*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",176,171,97.2,170,10,5.9,28,16.5,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",28,26,92.9,26,16,61.5,6,23.1,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",224,219,97.8,192,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",24,19,79.2,12,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",634,634,100.0,634,39,6.2,148,23.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",67,67,100.0,67,36,53.7,26,38.8,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",203,203,100.0,203,13,6.4,"*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",25,25,100.0,25,15,60.0,"*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",274,274,100.0,272,"*","*",53,19.5,"*","*",83,30.5,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",24,24,100.0,24,17,70.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",206,201,97.6,200,"*","*",36,18.0,"*","*",85,42.5,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",34,33,97.1,33,19,57.6,"*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",218,215,98.6,215,29,13.5,53,24.7,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",28,25,89.3,24,9,37.5,10,41.7,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",618,611,98.9,611,"*","*",121,19.8,269,44.0,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",75,74,98.7,74,28,37.8,28,37.8,"*","*","*","*",18,24.3
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",357,355,99.4,355,"*","*",52,14.6,128,36.1,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",30,30,100.0,30,12,40.0,11,36.7,"*","*","*","*",7,23.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",101,101,100.0,101,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",174,172,98.9,172,"*","*",50,29.1,"*","*",26,15.1,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",31,31,100.0,31,21,67.7,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",186,181,97.3,181,33,18.2,77,42.5,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",23,23,100.0,23,12,52.2,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",114,106,93.0,106,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",14,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*",0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","N",216,215,99.5,215,43,20.0,"*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Y",28,27,96.4,27,20,74.1,"*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",320,317,99.1,317,"*","*",51,16.1,122,38.5,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",39,39,100.0,39,20,51.3,"*","*",10,25.6,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",79,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",217,205,94.5,205,56,27.3,"*","*","*","*",24,11.7,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",24,21,87.5,21,17,81.0,"*","*","*","*",0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",790,771,97.6,771,"*","*",152,19.7,360,46.7,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",114,112,98.2,112,63,56.3,35,31.3,"*","*","*","*",14,12.5
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","N",121,120,99.2,120,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","N",141,141,100.0,141,"*","*",27,19.1,"*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Y",20,20,100.0,20,"*","*",6,30.0,"*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","N",140,138,98.6,138,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",513,513,100.0,513,153,29.8,158,30.8,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",51,51,100.0,51,43,84.3,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N",53,39,73.6,35,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",10,8,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","N",279,276,98.9,276,143,51.8,78,28.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",72,71,98.6,71,59,83.1,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",202,188,93.1,188,96,51.1,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",37,34,91.9,34,29,85.3,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","N",147,147,100.0,147,69,46.9,"*","*","*","*",11,7.5,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y",23,22,95.7,22,19,86.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","N",198,196,99.0,196,49,25.0,64,32.7,61,31.1,22,11.2,83,42.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",33,33,100.0,33,26,78.8,7,21.2,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","N",657,629,95.7,629,302,48.0,197,31.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",75,73,97.3,73,61,83.6,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","N",175,171,97.7,171,100,58.5,"*","*",11,6.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",20,20,100.0,20,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","N",375,323,86.1,316,79,25.0,"*","*","*","*",27,8.5,"*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",50,36,72.0,36,31,86.1,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","N",712,636,89.3,634,405,63.9,"*","*",65,10.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",90,87,96.7,87,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","N",214,213,99.5,213,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","N",382,377,98.7,377,235,62.3,"*","*",41,10.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",39,39,100.0,39,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","N",185,185,100.0,185,89,48.1,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",47,47,100.0,47,43,91.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","N",445,442,99.3,441,243,55.1,"*","*","*","*",9,2.0,"*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",68,67,98.5,67,62,92.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","N",183,183,100.0,183,99,54.1,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",27,27,100.0,27,22,81.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","N",108,108,100.0,107,40,37.4,"*","*",25,23.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",28,28,100.0,26,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","N",416,404,97.1,404,173,42.8,138,34.2,78,19.3,15,3.7,93,23.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",67,67,100.0,67,54,80.6,13,19.4,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","N",120,119,99.2,119,"*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","N",133,132,99.2,131,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","N",271,213,78.6,209,113,54.1,"*","*",31,14.8,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",34,21,61.8,21,17,81.0,"*","*",0,0.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","N",257,257,100.0,257,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","N",219,211,96.3,211,68,32.2,"*","*",48,22.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",41,37,90.2,37,34,91.9,"*","*",0,0.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","N",265,258,97.4,258,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","N",341,340,99.7,340,160,47.1,108,31.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",63,63,100.0,62,51,82.3,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","N",525,463,88.2,461,365,79.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",87,87,100.0,87,83,95.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","N",252,252,100.0,252,89,35.3,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",40,38,95.0,38,28,73.7,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","N",283,273,96.5,273,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","N",464,458,98.7,458,220,48.0,"*","*",82,17.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",56,56,100.0,56,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","N",264,257,97.3,255,174,68.2,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",41,41,100.0,41,39,95.1,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","N",237,234,98.7,233,100,42.9,86,36.9,"*","*","*","*",47,20.2
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",41,41,100.0,41,32,78.0,9,22.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","N",406,405,99.8,405,93,23.0,137,33.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",35,35,100.0,35,19,54.3,12,34.3,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",233,227,97.4,227,37,16.3,66,29.1,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",46,45,97.8,45,29,64.4,11,24.4,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",249,248,99.6,248,21,8.5,76,30.6,"*","*","*","*",151,60.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",59,54,91.5,53,34,64.2,12,22.6,"*","*","*","*",7,13.2
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N",617,611,99.0,610,"*","*",173,28.4,249,40.8,"*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Y",128,126,98.4,126,72,57.1,38,30.2,"*","*","*","*",16,12.7
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",149,148,99.3,148,26,17.6,"*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",24,24,100.0,24,16,66.7,"*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N",172,169,98.3,168,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",496,492,99.2,492,70,14.2,138,28.0,"*","*","*","*",284,57.7
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",87,86,98.9,86,57,66.3,23,26.7,"*","*","*","*",6,7.0
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",174,172,98.9,172,"*","*",39,22.7,"*","*",71,41.3,"*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y",26,25,96.2,25,14,56.0,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",147,146,99.3,146,"*","*",43,29.5,"*","*",35,24.0,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y",30,30,100.0,30,20,66.7,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N",353,345,97.7,345,29,8.4,86,24.9,176,51.0,54,15.7,230,66.7
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Y",64,62,96.9,62,31,50.0,21,33.9,10,16.1,0,0.0,10,16.1
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",200,199,99.5,199,35,17.6,"*","*","*","*",65,32.7,"*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y",38,38,100.0,38,29,76.3,"*","*","*","*",0,0.0,"*","*"
