"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA, All Grades, Special Education Status (SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",34764,34528,99.3,34516,6277,18.2,7975,23.1,8602,24.9,11662,33.8,20264,58.7,2449
"State of Connecticut",03,"Y",4543,4427,97.4,4422,2607,59.0,1075,24.3,470,10.6,270,6.1,740,16.7,2357
"State of Connecticut",04,"N",33683,33441,99.3,33431,6959,20.8,5975,17.9,8405,25.1,12092,36.2,20497,61.3,2494
"State of Connecticut",04,"Y",5167,5023,97.2,5017,3281,65.4,879,17.5,572,11.4,285,5.7,857,17.1,2389
"State of Connecticut",05,"N",34104,33867,99.3,33852,5736,16.9,6053,17.9,11228,33.2,10835,32.0,22063,65.2,2532
"State of Connecticut",05,"Y",5289,5160,97.6,5155,3231,62.7,1087,21.1,657,12.7,180,3.5,837,16.2,2419
"State of Connecticut",06,"N",34182,33860,99.1,33849,5351,15.8,7768,22.9,12246,36.2,8484,25.1,20730,61.2,2551
"State of Connecticut",06,"Y",5400,5221,96.7,5217,3197,61.3,1260,24.2,614,11.8,146,2.8,760,14.6,2438
"State of Connecticut",07,"N",35309,34831,98.6,34821,5756,16.5,7743,22.2,13425,38.6,7897,22.7,21322,61.2,2574
"State of Connecticut",07,"Y",5432,5261,96.9,5254,3273,62.3,1190,22.6,665,12.7,126,2.4,791,15.1,2460
"State of Connecticut",08,"N",34729,34153,98.3,34140,5133,15.0,7939,23.3,13988,41.0,7080,20.7,21068,61.7,2589
"State of Connecticut",08,"Y",5418,5216,96.3,5210,3105,59.6,1353,26.0,660,12.7,92,1.8,752,14.4,2473

