"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",296,294,99.3,294,102,34.7,106,36.1,53,18.0,33,11.2,86,29.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",296,292,98.6,291,120,41.2,83,28.5,44,15.1,44,15.1,88,30.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",267,266,99.6,266,50,18.8,89,33.5,73,27.4,54,20.3,127,47.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",271,267,98.5,267,69,25.8,72,27.0,66,24.7,60,22.5,126,47.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",75,74,98.7,74,"*","*","*","*",24,32.4,30,40.5,54,73.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",84,82,97.6,82,"*","*","*","*",30,36.6,29,35.4,59,72.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",168,164,97.6,163,80,49.1,62,38.0,"*","*","*","*",21,12.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",185,179,96.8,179,80,44.7,59,33.0,"*","*","*","*",40,22.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",171,171,100.0,171,66,38.6,61,35.7,37,21.6,7,4.1,44,25.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",175,175,100.0,175,75,42.9,62,35.4,21,12.0,17,9.7,38,21.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",179,173,96.6,173,57,32.9,66,38.2,39,22.5,11,6.4,50,28.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",172,170,98.8,170,57,33.5,56,32.9,41,24.1,16,9.4,57,33.5
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F",19,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M",126,117,92.9,117,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",351,351,100.0,351,158,45.0,109,31.1,58,16.5,26,7.4,84,23.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","M",373,373,100.0,373,163,43.7,110,29.5,65,17.4,35,9.4,100,26.8
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",213,213,100.0,213,86,40.4,80,37.6,35,16.4,12,5.6,47,22.1
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",200,198,99.0,198,106,53.5,56,28.3,27,13.6,9,4.5,36,18.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",117,117,100.0,117,22,18.8,40,34.2,32,27.4,23,19.7,55,47.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",114,114,100.0,114,26,22.8,30,26.3,41,36.0,17,14.9,58,50.9
