"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades, Gender"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"F",48,47,97.9,47,12,25.5,11,23.4,11,23.4,13,27.7,24,51.1,2422
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"M",42,42,100.0,42,12,28.6,11,26.2,10,23.8,9,21.4,19,45.2,2423
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"F",43,43,100.0,43,6,14.0,9,20.9,12,27.9,16,37.2,28,65.1,2494
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"M",48,48,100.0,48,18,37.5,7,14.6,11,22.9,12,25.0,23,47.9,2465
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",80,80,100.0,80,28,35.0,19,23.8,24,30.0,9,11.3,33,41.3,2478
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"M",64,64,100.0,64,29,45.3,18,28.1,10,15.6,7,10.9,17,26.6,2452
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"F",63,63,100.0,63,15,23.8,12,19.0,27,42.9,9,14.3,36,57.1,2532
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"M",82,81,98.8,81,27,33.3,27,33.3,19,23.5,8,9.9,27,33.3,2496
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"F",32,32,100.0,32,"*","*",11,34.4,13,40.6,"*","*","*","*",2558
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"M",25,25,100.0,25,"*","*","*","*",8,32.0,0,0.0,8,32.0,2497
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",30,30,100.0,30,"*","*",11,36.7,11,36.7,"*","*","*","*",2578
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"M",35,34,97.1,34,"*","*",11,32.4,9,26.5,"*","*","*","*",2576
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"F",50,50,100.0,50,"*","*","*","*",20,40.0,16,32.0,36,72.0,2466
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"M",41,40,97.6,40,"*","*",12,30.0,12,30.0,"*","*","*","*",2449
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"F",44,43,97.7,43,12,27.9,7,16.3,10,23.3,14,32.6,24,55.8,2487
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"M",48,48,100.0,48,12,25.0,10,20.8,12,25.0,14,29.2,26,54.2,2480
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",48,48,100.0,48,"*","*",14,29.2,22,45.8,"*","*","*","*",2523
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"M",46,45,97.8,45,"*","*",8,17.8,16,35.6,"*","*","*","*",2495
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"F",40,40,100.0,40,"*","*",12,30.0,23,57.5,"*","*","*","*",2543
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"M",50,50,100.0,50,"*","*",16,32.0,"*","*",0,0.0,"*","*",2489
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"F",46,46,100.0,46,"*","*",14,30.4,17,37.0,"*","*","*","*",2553
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"M",43,43,100.0,43,13,30.2,"*","*",17,39.5,"*","*","*","*",2530
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",39,39,100.0,39,"*","*",12,30.8,19,48.7,"*","*","*","*",2570
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"M",43,42,97.7,42,"*","*",10,23.8,16,38.1,"*","*","*","*",2574
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"M",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2515
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"M",29,27,93.1,27,"*","*","*","*","*","*","*","*","*","*",2573
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"F",27,27,100.0,27,"*","*","*","*","*","*",14,51.9,"*","*",2592
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"M",21,21,100.0,21,"*","*","*","*","*","*",8,38.1,"*","*",2574
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"F",69,67,97.1,67,28,41.8,26,38.8,"*","*","*","*",13,19.4,2487
