"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA and Math, All Grades, English Learner Status (EL)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","N",35694,35359,99.1,35348,6925,19.6,8005,22.6,8615,24.4,11803,33.4,20418,57.8,2446
"State of Connecticut",03,"ELA","Y",3613,3596,99.5,3590,1959,54.6,1045,29.1,457,12.7,129,3.6,586,16.3,2361
"State of Connecticut",03,"Math","N",35685,35295,98.9,35282,7261,20.6,8207,23.3,11115,31.5,8699,24.7,19814,56.2,2444
"State of Connecticut",03,"Math","Y",3611,3589,99.4,3585,1886,52.6,995,27.8,567,15.8,137,3.8,704,19.6,2377
"State of Connecticut",04,"ELA","N",35840,35462,98.9,35452,8199,23.1,6322,17.8,8651,24.4,12280,34.6,20931,59.0,2488
"State of Connecticut",04,"ELA","Y",3010,3002,99.7,2996,2041,68.1,532,17.8,326,10.9,97,3.2,423,14.1,2383
"State of Connecticut",04,"Math","N",35833,35409,98.8,35399,6585,18.6,10776,30.4,10291,29.1,7747,21.9,18038,51.0,2484
"State of Connecticut",04,"Math","Y",3009,2993,99.5,2985,1653,55.4,969,32.5,285,9.5,78,2.6,363,12.2,2405
"State of Connecticut",05,"ELA","N",36654,36296,99.0,36283,7180,19.8,6545,18.0,11567,31.9,10991,30.3,22558,62.2,2525
"State of Connecticut",05,"ELA","Y",2739,2731,99.7,2724,1787,65.6,595,21.8,318,11.7,24,0.9,342,12.6,2411
"State of Connecticut",05,"Math","N",36646,36231,98.9,36222,10081,27.8,10406,28.7,7570,20.9,8165,22.5,15735,43.4,2508
"State of Connecticut",05,"Math","Y",2735,2720,99.5,2716,1988,73.2,557,20.5,133,4.9,38,1.4,171,6.3,2415
"State of Connecticut",06,"ELA","N",37433,36939,98.7,36928,6980,18.9,8584,23.2,12742,34.5,8622,23.3,21364,57.9,2543
"State of Connecticut",06,"ELA","Y",2149,2142,99.7,2138,1568,73.3,444,20.8,118,5.5,8,0.4,126,5.9,2410
"State of Connecticut",06,"Math","N",37423,36842,98.4,36832,9837,26.7,11278,30.6,8110,22.0,7607,20.7,15717,42.7,2528
"State of Connecticut",06,"Math","Y",2150,2134,99.3,2130,1702,79.9,344,16.2,55,2.6,29,1.4,84,3.9,2401
"State of Connecticut",07,"ELA","N",38626,37985,98.3,37976,7422,19.5,8545,22.5,13996,36.9,8013,21.1,22009,58.0,2566
"State of Connecticut",07,"ELA","Y",2115,2107,99.6,2099,1607,76.6,388,18.5,94,4.5,10,0.5,104,5.0,2430
"State of Connecticut",07,"Math","N",38615,37882,98.1,37871,9969,26.3,11289,29.8,9116,24.1,7497,19.8,16613,43.9,2545
"State of Connecticut",07,"Math","Y",2114,2089,98.8,2083,1657,79.5,329,15.8,62,3.0,35,1.7,97,4.7,2415
"State of Connecticut",08,"ELA","N",38303,37546,98.0,37533,6807,18.1,8974,23.9,14587,38.9,7165,19.1,21752,58.0,2580
"State of Connecticut",08,"ELA","Y",1844,1823,98.9,1817,1431,78.8,318,17.5,61,3.4,7,0.4,68,3.7,2436
"State of Connecticut",08,"Math","N",38294,37388,97.6,37374,12084,32.3,9546,25.5,7598,20.3,8146,21.8,15744,42.1,2558
"State of Connecticut",08,"Math","Y",1845,1812,98.2,1805,1553,86.0,197,10.9,33,1.8,22,1.2,55,3.0,2419

