"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Y",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Y",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Y",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Y",57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",65,65,100.0,65,22,33.8,21,32.3,14,21.5,8,12.3,22,33.8,2534
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Y",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2496
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2525
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2524
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2549
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2474
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N",30,30,100.0,30,0,0.0,"*","*","*","*","*","*","*","*",2519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"N",35,35,100.0,35,0,0.0,"*","*","*","*","*","*","*","*",2613
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Y",123,115,93.5,115,63,54.8,37,32.2,"*","*","*","*",15,13.0,2474
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"N",46,46,100.0,46,13,28.3,21,45.7,"*","*","*","*",12,26.1,2510
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Y",144,142,98.6,142,70,49.3,50,35.2,"*","*","*","*",22,15.5,2498
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",40,40,100.0,39,14,35.9,13,33.3,"*","*","*","*",12,30.8,2548
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Y",58,58,100.0,58,"*","*",23,39.7,8,13.8,"*","*","*","*",2384
