"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",544,541,99.4,541,127,23.5,149,27.5,164,30.3,101,18.7,265,49.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",167,163,97.6,163,6,3.7,27,16.6,43,26.4,87,53.4,130,79.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",112,104,92.9,104,10,9.6,27,26.0,41,39.4,26,25.0,67,64.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",394,386,98.0,386,133,34.5,121,31.3,102,26.4,30,7.8,132,34.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""",360,360,100.0,360,133,36.9,105,29.2,81,22.5,41,11.4,122,33.9
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",349,346,99.1,346,114,32.9,106,30.6,81,23.4,45,13.0,126,36.4
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",142,131,92.3,124,95,76.6,19,15.3,10,8.1,0,0.0,10,8.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",706,705,99.9,703,182,25.9,231,32.9,229,32.6,61,8.7,290,41.3
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",426,423,99.3,423,123,29.1,128,30.3,116,27.4,56,13.2,172,40.7
"Ashford School District","=""0030011""","Ashford School","=""0030111""",250,249,99.6,249,31,12.4,64,25.7,84,33.7,70,28.1,154,61.8
"Avon School District","=""0040011""","Avon High School","=""0046111""",246,"*","*","*",29,12.6,"*","*",69,30.0,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",547,544,99.5,544,16,2.9,74,13.6,235,43.2,219,40.3,454,83.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",256,249,97.3,249,"*","*","*","*",70,28.1,143,57.4,213,85.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",234,"*",234,"*","*",32,13.7,"*","*",143,61.1,"*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",557,552,99.1,551,29,5.3,62,11.3,205,37.2,255,46.3,460,83.5
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",248,238,96.0,204,64,31.4,66,32.4,49,24.0,25,12.3,74,36.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",701,701,100.0,701,75,10.7,174,24.8,312,44.5,140,20.0,452,64.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",228,228,100.0,228,28,12.3,44,19.3,83,36.4,73,32.0,156,68.4
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",298,298,100.0,296,38,12.8,59,19.9,116,39.2,83,28.0,199,67.2
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",130,130,100.0,130,22,16.9,27,20.8,46,35.4,35,26.9,81,62.3
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",240,234,97.5,233,29,12.4,46,19.7,73,31.3,85,36.5,158,67.8
