"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA, All Grades, Special Education Status (SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",34224,33657,98.3,33619,5991,17.8,7958,23.7,8633,25.7,11037,32.8,19670,58.5,2447
"State of Connecticut",03,"Y",4534,4384,96.7,4366,2771,63.5,909,20.8,455,10.4,231,5.3,686,15.7,2349
"State of Connecticut",04,"N",34487,33936,98.4,33902,6815,20.1,6588,19.4,8859,26.1,11640,34.3,20499,60.5,2492
"State of Connecticut",04,"Y",4838,4710,97.4,4695,3143,66.9,853,18.2,501,10.7,198,4.2,699,14.9,2384
"State of Connecticut",05,"N",34448,33891,98.4,33857,5534,16.3,6388,18.9,12073,35.7,9862,29.1,21935,64.8,2530
"State of Connecticut",05,"Y",5106,4967,97.3,4958,3237,65.3,949,19.1,612,12.3,160,3.2,772,15.6,2418
"State of Connecticut",06,"N",35317,34716,98.3,34667,4731,13.6,8615,24.9,13268,38.3,8053,23.2,21321,61.5,2552
"State of Connecticut",06,"Y",5224,5060,96.9,5042,2976,59.0,1344,26.7,633,12.6,89,1.8,722,14.3,2441
"State of Connecticut",07,"N",34743,33882,97.5,33833,5074,15.0,7256,21.4,14476,42.8,7027,20.8,21503,63.6,2575
"State of Connecticut",07,"Y",5207,4977,95.6,4947,3124,63.1,1192,24.1,571,11.5,60,1.2,631,12.8,2457
"State of Connecticut",08,"N",35723,34727,97.2,34666,4963,14.3,8967,25.9,14109,40.7,6627,19.1,20736,59.8,2586
"State of Connecticut",08,"Y",5262,4985,94.7,4943,2935,59.4,1374,27.8,552,11.2,82,1.7,634,12.8,2473
"State of Connecticut",11,"N",35411,29189,82.4,28940,5236,18.1,7020,24.3,9995,34.5,6689,23.1,16684,57.7,2596
"State of Connecticut",11,"Y",4445,3485,78.4,3428,1931,56.3,914,26.7,446,13.0,137,4.0,583,17.0,2487

