"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",20141,19905,98.8,19891,1369,6.9,3555,17.9,5686,28.6,9281,46.7,14967,75.2,2479
"State of Connecticut",03,"Y",18617,18136,97.4,18094,7393,40.9,5312,29.4,3402,18.8,1987,11.0,5389,29.8,2389
"State of Connecticut",04,"N",21033,20814,99.0,20801,1724,8.3,3211,15.4,5940,28.6,9926,47.7,15866,76.3,2524
"State of Connecticut",04,"Y",18292,17832,97.5,17796,8234,46.3,4230,23.8,3420,19.2,1912,10.7,5332,30.0,2426
"State of Connecticut",05,"N",21509,21263,98.9,21249,1438,6.8,2895,13.6,8322,39.2,8594,40.4,16916,79.6,2560
"State of Connecticut",05,"Y",18045,17595,97.5,17566,7333,41.7,4442,25.3,4363,24.8,1428,8.1,5791,33.0,2462
"State of Connecticut",06,"N",22507,22187,98.6,22170,1136,5.1,4262,19.2,9656,43.6,7116,32.1,16772,75.7,2580
"State of Connecticut",06,"Y",18034,17589,97.5,17539,6571,37.5,5697,32.5,4245,24.2,1026,5.8,5271,30.1,2484
"State of Connecticut",07,"N",22266,21843,98.1,21825,1358,6.2,3651,16.7,10605,48.6,6211,28.5,16816,77.0,2603
"State of Connecticut",07,"Y",17684,17016,96.2,16955,6840,40.3,4797,28.3,4442,26.2,876,5.2,5318,31.4,2504
"State of Connecticut",08,"N",23357,22790,97.6,22759,1478,6.5,4758,20.9,10542,46.3,5981,26.3,16523,72.6,2613
"State of Connecticut",08,"Y",17628,16922,96.0,16850,6420,38.1,5583,33.1,4119,24.4,728,4.3,4847,28.8,2516
"State of Connecticut",11,"N",24422,20032,82.0,19892,2428,12.2,4092,20.6,7459,37.5,5913,29.7,13372,67.2,2619
"State of Connecticut",11,"Y",15434,12642,81.9,12476,4739,38.0,3842,30.8,2982,23.9,913,7.3,3895,31.2,2529

