"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Y",90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Y",91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Y",145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Y",57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",65,64,98.5,64,10,15.6,22,34.4,20,31.3,12,18.8,32,50.0,2577
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Y",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2481
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2501
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2508
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2534
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2554
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2459
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
