"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA and Math, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","F",19307,19145,99.2,19137,3718,19.4,4309,22.5,4603,24.1,6507,34.0,11110,58.1,2447
"State of Connecticut",03,"ELA","M",20000,19810,99.1,19801,5166,26.1,4741,23.9,4469,22.6,5425,27.4,9894,50.0,2430
"State of Connecticut",03,"Math","F",19302,19115,99.0,19109,4419,23.1,4699,24.6,5893,30.8,4098,21.4,9991,52.3,2437
"State of Connecticut",03,"Math","M",19994,19769,98.9,19758,4728,23.9,4503,22.8,5789,29.3,4738,24.0,10527,53.3,2439
"State of Connecticut",04,"ELA","F",18989,18811,99.1,18806,4315,22.9,3316,17.6,4468,23.8,6707,35.7,11175,59.4,2490
"State of Connecticut",04,"ELA","M",19861,19653,99.0,19642,5925,30.2,3538,18.0,4509,23.0,5670,28.9,10179,51.8,2471
"State of Connecticut",04,"Math","F",18983,18782,98.9,18773,3959,21.1,6047,32.2,5300,28.2,3467,18.5,8767,46.7,2476
"State of Connecticut",04,"Math","M",19859,19620,98.8,19611,4279,21.8,5698,29.1,5276,26.9,4358,22.2,9634,49.1,2480
"State of Connecticut",05,"ELA","F",19449,19282,99.1,19275,3553,18.4,3319,17.2,6111,31.7,6292,32.6,12403,64.3,2531
"State of Connecticut",05,"ELA","M",19944,19745,99.0,19732,5414,27.4,3821,19.4,5774,29.3,4723,23.9,10497,53.2,2504
"State of Connecticut",05,"Math","F",19444,19248,99.0,19243,5962,31.0,5679,29.5,3772,19.6,3830,19.9,7602,39.5,2500
"State of Connecticut",05,"Math","M",19937,19703,98.8,19695,6107,31.0,5284,26.8,3931,20.0,4373,22.2,8304,42.2,2502
"State of Connecticut",06,"ELA","F",19195,18965,98.8,18961,3329,17.6,4262,22.5,6620,34.9,4750,25.1,11370,60.0,2548
"State of Connecticut",06,"ELA","M",20387,20116,98.7,20105,5219,26.0,4766,23.7,6240,31.0,3880,19.3,10120,50.3,2525
"State of Connecticut",06,"Math","F",19190,18923,98.6,18919,5364,28.4,5874,31.0,4080,21.6,3601,19.0,7681,40.6,2523
"State of Connecticut",06,"Math","M",20383,20053,98.4,20043,6175,30.8,5748,28.7,4085,20.4,4035,20.1,8120,40.5,2519
"State of Connecticut",07,"ELA","F",19759,19417,98.3,19408,3461,17.8,4135,21.3,7244,37.3,4568,23.5,11812,60.9,2573
"State of Connecticut",07,"ELA","M",20982,20675,98.5,20667,5568,26.9,4798,23.2,6846,33.1,3455,16.7,10301,49.8,2546
"State of Connecticut",07,"Math","F",19755,19361,98.0,19350,5310,27.4,5921,30.6,4606,23.8,3513,18.2,8119,42.0,2540
"State of Connecticut",07,"Math","M",20974,20610,98.3,20604,6316,30.7,5697,27.6,4572,22.2,4019,19.5,8591,41.7,2536
"State of Connecticut",08,"ELA","F",19593,19167,97.8,19158,3039,15.9,4274,22.3,7765,40.5,4080,21.3,11845,61.8,2589
"State of Connecticut",08,"ELA","M",20554,20202,98.3,20192,5199,25.7,5018,24.9,6883,34.1,3092,15.3,9975,49.4,2559
"State of Connecticut",08,"Math","F",19587,19082,97.4,19070,6131,32.1,5010,26.3,3972,20.8,3957,20.7,7929,41.6,2557
"State of Connecticut",08,"Math","M",20552,20118,97.9,20109,7506,37.3,4733,23.5,3659,18.2,4211,20.9,7870,39.1,2546

