"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"F",79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"F",80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"F",79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*",11,13.9,2440
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"F",77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"F",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"F",71,70,98.6,70,18,25.7,18,25.7,26,37.1,8,11.4,34,48.6,2429
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
