"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",538,534,99.3,534,109,20.4,134,25.1,199,37.3,92,17.2,291,54.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",159,156,98.1,156,12,7.7,27,17.3,45,28.8,72,46.2,117,75.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",353,343,97.2,343,145,42.3,105,30.6,76,22.2,17,5.0,93,27.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""",346,346,100.0,346,136,39.3,95,27.5,77,22.3,38,11.0,115,33.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",351,344,98.0,344,105,30.5,93,27.0,96,27.9,50,14.5,146,42.4
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",145,140,96.6,139,110,79.1,18,12.9,"*","*","*","*",11,7.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",724,724,100.0,724,244,33.7,199,27.5,203,28.0,78,10.8,281,38.8
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",413,411,99.5,411,126,30.7,102,24.8,118,28.7,65,15.8,183,44.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""",231,231,100.0,231,35,15.2,51,22.1,82,35.5,63,27.3,145,62.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",540,538,99.6,538,22,4.1,75,13.9,212,39.4,229,42.6,441,82.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",242,242,100.0,242,13,5.4,40,16.5,59,24.4,130,53.7,189,78.1
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",213,212,99.5,212,15,7.1,23,10.8,46,21.7,128,60.4,174,82.1
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",550,549,99.8,549,35,6.4,69,12.6,184,33.5,261,47.5,445,81.1
