"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",364,361,99.2,361,93,25.8,96,26.6,125,34.6,47,13.0,172,47.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",89,89,100.0,89,7,7.9,23,25.8,37,41.6,22,24.7,59,66.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",134,133,99.3,133,8,6.0,21,15.8,38,28.6,66,49.6,104,78.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",201,194,96.5,194,94,48.5,53,27.3,"*","*","*","*",47,24.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",104,103,99.0,103,36,35.0,31,30.1,27,26.2,9,8.7,36,35.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","R",48,46,95.8,46,15,32.6,21,45.7,"*","*","*","*",10,21.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",212,212,100.0,212,94,44.3,63,29.7,"*","*","*","*",55,25.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",107,107,100.0,107,32,29.9,26,24.3,31,29.0,18,16.8,49,45.8
