"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Gender"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"ELA","F",33,33,100.0,33,8,24.2,8,24.2,9,27.3,8,24.2,17,51.5,2430
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"ELA","M",46,46,100.0,46,17,37.0,10,21.7,12,26.1,7,15.2,19,41.3,2411
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Math","F",33,33,100.0,33,"*","*",9,27.3,15,45.5,"*","*","*","*",2426
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Math","M",46,45,97.8,45,"*","*",13,28.9,17,37.8,"*","*","*","*",2444
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"ELA","F",45,45,100.0,45,15,33.3,"*","*",13,28.9,"*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"ELA","M",35,35,100.0,35,11,31.4,"*","*",11,31.4,"*","*","*","*",2456
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Math","F",45,45,100.0,45,"*","*",15,33.3,18,40.0,"*","*","*","*",2473
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Math","M",35,35,100.0,35,"*","*",17,48.6,11,31.4,"*","*","*","*",2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"ELA","F",68,68,100.0,68,21,30.9,"*","*",26,38.2,"*","*","*","*",2485
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"ELA","M",78,78,100.0,78,40,51.3,"*","*",20,25.6,"*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Math","F",68,68,100.0,68,38,55.9,20,29.4,"*","*","*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Math","M",78,78,100.0,78,47,60.3,"*","*","*","*",0,0.0,"*","*",2428
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"ELA","F",41,41,100.0,41,"*","*",17,41.5,12,29.3,"*","*","*","*",2528
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"ELA","M",38,38,100.0,38,18,47.4,11,28.9,"*","*","*","*",9,23.7,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Math","F",41,41,100.0,41,22,53.7,12,29.3,"*","*","*","*","*","*",2463
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Math","M",38,38,100.0,38,25,65.8,"*","*","*","*",0,0.0,"*","*",2415
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"ELA","F",32,31,96.9,31,9,29.0,"*","*",13,41.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"ELA","M",45,43,95.6,43,13,30.2,"*","*",12,27.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Math","F",32,31,96.9,31,13,41.9,11,35.5,"*","*","*","*",7,22.6,2501
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Math","M",45,43,95.6,43,22,51.2,11,25.6,"*","*","*","*",10,23.3,2490
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"ELA","F",30,30,100.0,30,"*","*",10,33.3,12,40.0,"*","*","*","*",2546
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"ELA","M",29,29,100.0,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Math","F",30,30,100.0,30,21,70.0,"*","*","*","*",0,0.0,"*","*",2454
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Math","M",29,29,100.0,28,21,75.0,"*","*","*","*","*","*","*","*",2439
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"ELA","F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2634
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"ELA","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Math","F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2588
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Math","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","F",40,39,97.5,39,"*","*",15,38.5,"*","*",15,38.5,"*","*",2444
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","M",49,49,100.0,49,"*","*",12,24.5,"*","*",12,24.5,"*","*",2426
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","F",40,39,97.5,39,8,20.5,11,28.2,14,35.9,6,15.4,20,51.3,2435
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","M",49,49,100.0,49,13,26.5,11,22.4,16,32.7,9,18.4,25,51.0,2435
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","F",40,40,100.0,40,10,25.0,"*","*",10,25.0,"*","*","*","*",2469
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","M",36,36,100.0,36,12,33.3,"*","*","*","*",10,27.8,"*","*",2473
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","F",40,40,100.0,40,"*","*",17,42.5,"*","*",9,22.5,"*","*",2484
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","M",36,36,100.0,36,"*","*",13,36.1,10,27.8,"*","*","*","*",2486
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","F",37,37,100.0,37,"*","*",7,18.9,20,54.1,"*","*","*","*",2512
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","M",53,52,98.1,52,22,42.3,20,38.5,"*","*","*","*",10,19.2,2448
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","F",37,36,97.3,36,"*","*",16,44.4,"*","*",0,0.0,"*","*",2476
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","M",53,52,98.1,52,28,53.8,21,40.4,"*","*","*","*","*","*",2438
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","F",51,51,100.0,51,13,25.5,"*","*",20,39.2,"*","*","*","*",2530
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","M",48,48,100.0,48,"*","*",14,29.2,18,37.5,"*","*","*","*",2514
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","F",51,51,100.0,51,15,29.4,17,33.3,"*","*","*","*",19,37.3,2515
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","M",48,48,100.0,48,16,33.3,15,31.3,"*","*","*","*",17,35.4,2499
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","F",42,42,100.0,42,"*","*",15,35.7,16,38.1,"*","*","*","*",2552
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","M",36,36,100.0,36,"*","*",12,33.3,12,33.3,"*","*","*","*",2545
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","F",42,42,100.0,42,16,38.1,18,42.9,"*","*","*","*",8,19.0,2503
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","M",36,36,100.0,36,14,38.9,10,27.8,"*","*","*","*",12,33.3,2509
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA","F",41,41,100.0,41,"*","*",14,34.1,13,31.7,"*","*","*","*",2586
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA","M",38,38,100.0,38,"*","*",10,26.3,15,39.5,"*","*","*","*",2581
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Math","F",41,41,100.0,41,15,36.6,"*","*","*","*",12,29.3,"*","*",2557
