"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, Math, All Grades, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",35601,35153,98.7,35132,8491,24.2,8744,24.9,11008,31.3,6889,19.6,17897,50.9,2433
"State of Connecticut",03,"Y",3153,3123,99.0,3117,1979,63.5,780,25.0,301,9.7,57,1.8,358,11.5,2358
"State of Connecticut",04,"N",36341,35901,98.8,35887,7325,20.4,11812,32.9,10348,28.8,6402,17.8,16750,46.7,2476
"State of Connecticut",04,"Y",2979,2944,98.8,2941,1689,57.4,934,31.8,251,8.5,67,2.3,318,10.8,2400
"State of Connecticut",05,"N",36921,36481,98.8,36455,11059,30.3,11209,30.7,7368,20.2,6819,18.7,14187,38.9,2499
"State of Connecticut",05,"Y",2630,2592,98.6,2587,1978,76.5,473,18.3,102,3.9,34,1.3,136,5.3,2410
"State of Connecticut",06,"N",38276,37669,98.4,37640,10817,28.7,12101,32.1,8298,22.0,6424,17.1,14722,39.1,2520
"State of Connecticut",06,"Y",2263,2235,98.8,2230,1776,79.6,361,16.2,65,2.9,28,1.3,93,4.2,2402
"State of Connecticut",07,"N",37850,37003,97.8,36947,10743,29.1,11259,30.5,8490,23.0,6455,17.5,14945,40.4,2537
"State of Connecticut",07,"Y",2099,2058,98.0,2053,1666,81.1,295,14.4,65,3.2,27,1.3,92,4.5,2412
"State of Connecticut",08,"N",38990,37881,97.2,37828,13238,35.0,10110,26.7,7408,19.6,7072,18.7,14480,38.3,2547
"State of Connecticut",08,"Y",1992,1939,97.3,1934,1654,85.5,203,10.5,45,2.3,32,1.7,77,4.0,2416
"State of Connecticut",11,"N",38258,31016,81.1,30875,13804,44.7,7336,23.8,6024,19.5,3711,12.0,9735,31.5,2562
"State of Connecticut",11,"Y",1607,1312,81.6,1302,1119,85.9,114,8.8,45,3.5,24,1.8,69,5.3,2447

