"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"F",19302,19115,99.0,19109,4419,23.1,4699,24.6,5893,30.8,4098,21.4,9991,52.3,2437
"State of Connecticut",03,"M",19994,19769,98.9,19758,4728,23.9,4503,22.8,5789,29.3,4738,24.0,10527,53.3,2439
"State of Connecticut",04,"F",18983,18782,98.9,18773,3959,21.1,6047,32.2,5300,28.2,3467,18.5,8767,46.7,2476
"State of Connecticut",04,"M",19859,19620,98.8,19611,4279,21.8,5698,29.1,5276,26.9,4358,22.2,9634,49.1,2480
"State of Connecticut",05,"F",19444,19248,99.0,19243,5962,31.0,5679,29.5,3772,19.6,3830,19.9,7602,39.5,2500
"State of Connecticut",05,"M",19937,19703,98.8,19695,6107,31.0,5284,26.8,3931,20.0,4373,22.2,8304,42.2,2502
"State of Connecticut",06,"F",19190,18923,98.6,18919,5364,28.4,5874,31.0,4080,21.6,3601,19.0,7681,40.6,2523
"State of Connecticut",06,"M",20383,20053,98.4,20043,6175,30.8,5748,28.7,4085,20.4,4035,20.1,8120,40.5,2519
"State of Connecticut",07,"F",19755,19361,98.0,19350,5310,27.4,5921,30.6,4606,23.8,3513,18.2,8119,42.0,2540
"State of Connecticut",07,"M",20974,20610,98.3,20604,6316,30.7,5697,27.6,4572,22.2,4019,19.5,8591,41.7,2536
"State of Connecticut",08,"F",19587,19082,97.4,19070,6131,32.1,5010,26.3,3972,20.8,3957,20.7,7929,41.6,2557
"State of Connecticut",08,"M",20552,20118,97.9,20109,7506,37.3,4733,23.5,3659,18.2,4211,20.9,7870,39.1,2546

