"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA, All Grades, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",35610,35173,98.8,35136,7114,20.2,8032,22.9,8788,25.0,11202,31.9,19990,56.9,2443
"State of Connecticut",03,"Y",3148,2868,91.1,2849,1648,57.8,835,29.3,300,10.5,66,2.3,366,12.8,2354
"State of Connecticut",04,"N",36345,35934,98.9,35904,8218,22.9,6877,19.2,9048,25.2,11761,32.8,20809,58.0,2485
"State of Connecticut",04,"Y",2980,2712,91.0,2693,1740,64.6,564,20.9,312,11.6,77,2.9,389,14.4,2389
"State of Connecticut",05,"N",36927,36491,98.8,36464,7269,19.9,6766,18.6,12431,34.1,9998,27.4,22429,61.5,2522
"State of Connecticut",05,"Y",2627,2367,90.1,2351,1502,63.9,571,24.3,254,10.8,24,1.0,278,11.8,2417
"State of Connecticut",06,"N",38279,37707,98.5,37662,6391,17.0,9387,24.9,13752,36.5,8132,21.6,21884,58.1,2544
"State of Connecticut",06,"Y",2262,2069,91.5,2047,1316,64.3,572,27.9,149,7.3,10,0.5,159,7.8,2428
"State of Connecticut",07,"N",37853,37011,97.8,36953,"*","*",8076,21.9,14927,40.4,"*","*","*","*",2566
"State of Connecticut",07,"Y",2097,1848,88.1,1827,1331,72.9,372,20.4,"*","*","*","*",124,6.8,2439
"State of Connecticut",08,"N",38993,37969,97.4,37885,"*","*",9922,26.2,14580,38.5,"*","*","*","*",2578
"State of Connecticut",08,"Y",1992,1743,87.5,1724,1223,70.9,419,24.3,"*","*","*","*",82,4.8,2450
"State of Connecticut",11,"N",38248,31399,82.1,31113,6315,20.3,7606,24.4,10378,33.4,6814,21.9,17192,55.3,2589
"State of Connecticut",11,"Y",1608,1275,79.3,1255,852,67.9,328,26.1,63,5.0,12,1.0,75,6.0,2459

