"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, High Needs (F/R, EL or"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",419,416,99.3,416,103,24.8,113,27.2,126,30.3,74,17.8,200,48.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",125,125,100.0,125,24,19.2,36,28.8,38,30.4,27,21.6,65,52.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",32,30,93.8,30,"*","*","*","*",8,26.7,10,33.3,18,60.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",135,133,98.5,133,"*","*","*","*",35,26.3,77,57.9,112,84.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",63,59,93.7,59,"*","*",18,30.5,24,40.7,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",49,45,91.8,45,"*","*","*","*",17,37.8,17,37.8,34,75.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",291,284,97.6,284,113,39.8,92,32.4,63,22.2,16,5.6,79,27.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",103,102,99.0,102,20,19.6,29,28.4,39,38.2,14,13.7,53,52.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",255,255,100.0,255,103,40.4,84,32.9,46,18.0,22,8.6,68,26.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",105,105,100.0,105,30,28.6,21,20.0,35,33.3,19,18.1,54,51.4
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",245,244,99.6,244,93,38.1,85,34.8,48,19.7,18,7.4,66,27.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",104,102,98.1,102,21,20.6,21,20.6,33,32.4,27,26.5,60,58.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",423,422,99.8,421,147,34.9,153,36.3,108,25.7,13,3.1,121,28.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",283,283,100.0,282,35,12.4,78,27.7,121,42.9,48,17.0,169,59.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",232,229,98.7,229,89,38.9,74,32.3,49,21.4,17,7.4,66,28.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",194,194,100.0,194,34,17.5,54,27.8,67,34.5,39,20.1,106,54.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",99,99,100.0,99,"*","*",35,35.4,20,20.2,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",151,150,99.3,150,"*","*","*","*",64,42.7,52,34.7,116,77.3
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",35,32,91.4,31,15,48.4,"*","*",6,19.4,"*","*","*","*"
