"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"ELA","F",90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Math","F",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"ELA","F",91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Math","F",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"ELA","F",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Math","F",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"ELA","F",145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Math","F",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"ELA","F",57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
