"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",408,404,99.0,404,121,30.0,136,33.7,98,24.3,49,12.1,147,36.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",23,23,100.0,23,"*","*",8,34.8,8,34.8,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",144,142,98.6,142,"*","*",33,23.2,40,28.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",62,55,88.7,55,32,58.2,12,21.8,"*","*","*","*",11,20.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",50,48,96.0,48,16,33.3,13,27.1,"*","*","*","*",19,39.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",281,274,97.5,274,152,55.5,89,32.5,25,9.1,8,2.9,33,12.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",113,112,99.1,112,46,41.1,40,35.7,16,14.3,10,8.9,26,23.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",241,241,100.0,241,108,44.8,94,39.0,30,12.4,9,3.7,39,16.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",120,120,100.0,120,39,32.5,52,43.3,21,17.5,8,6.7,29,24.2
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",231,231,100.0,231,94,40.7,100,43.3,28,12.1,9,3.9,37,16.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",118,117,99.2,117,38,32.5,38,32.5,28,23.9,13,11.1,41,35.0
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",115,105,91.3,102,97,95.1,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",28,25,89.3,25,21,84.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",399,398,99.7,398,223,56.0,119,29.9,46,11.6,10,2.5,56,14.1
