"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",20138,19882,98.7,19876,1761,8.9,4260,21.4,7898,39.7,5957,30.0,13855,69.7,2467
"State of Connecticut",03,"Y",18616,18394,98.8,18373,8709,47.4,5264,28.7,3411,18.6,989,5.4,4400,23.9,2384
"State of Connecticut",04,"N",21036,20805,98.9,20802,1342,6.5,6012,28.9,7801,37.5,5647,27.1,13448,64.6,2509
"State of Connecticut",04,"Y",18284,18040,98.7,18026,7672,42.6,6734,37.4,2798,15.5,822,4.6,3620,20.1,2425
"State of Connecticut",05,"N",21512,21261,98.8,21251,2800,13.2,6681,31.4,5703,26.8,6067,28.5,11770,55.4,2535
"State of Connecticut",05,"Y",18039,17812,98.7,17791,10237,57.5,5001,28.1,1767,9.9,786,4.4,2553,14.3,2443
"State of Connecticut",06,"N",22509,22171,98.5,22158,2735,12.3,7162,32.3,6478,29.2,5783,26.1,12261,55.3,2561
"State of Connecticut",06,"Y",18030,17733,98.4,17712,9858,55.7,5300,29.9,1885,10.6,669,3.8,2554,14.4,2454
"State of Connecticut",07,"N",22269,21815,98.0,21793,2847,13.1,6546,30.0,6656,30.5,5744,26.4,12400,56.9,2579
"State of Connecticut",07,"Y",17680,17246,97.5,17207,9562,55.6,5008,29.1,1899,11.0,738,4.3,2637,15.3,2468
"State of Connecticut",08,"N",23357,22760,97.4,22740,4180,18.4,6276,27.6,5877,25.8,6407,28.2,12284,54.0,2592
"State of Connecticut",08,"Y",17625,17060,96.8,17022,10712,62.9,4037,23.7,1576,9.3,697,4.1,2273,13.4,2473
"State of Connecticut",11,"N",24421,19828,81.2,19742,6066,30.7,5162,26.1,5069,25.7,3445,17.5,8514,43.1,2601
"State of Connecticut",11,"Y",15444,12500,80.9,12435,8857,71.2,2288,18.4,1000,8.0,290,2.3,1290,10.4,2487

