"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",408,405,99.3,405,98,24.2,111,27.4,122,30.1,74,18.3,196,48.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",23,23,100.0,23,"*","*","*","*",7,30.4,9,39.1,16,69.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",62,59,95.2,59,"*","*",18,30.5,24,40.7,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",50,45,90.0,45,"*","*","*","*",17,37.8,17,37.8,34,75.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",281,274,97.5,274,106,38.7,89,32.5,63,23.0,16,5.8,79,28.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",113,112,99.1,112,27,24.1,32,28.6,39,34.8,14,12.5,53,47.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",241,241,100.0,241,93,38.6,81,33.6,45,18.7,22,9.1,67,27.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",119,119,100.0,119,40,33.6,24,20.2,36,30.3,19,16.0,55,46.2
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",231,231,100.0,231,86,37.2,81,35.1,47,20.3,17,7.4,64,27.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",118,115,97.5,115,28,24.3,25,21.7,34,29.6,28,24.3,62,53.9
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",115,105,91.3,99,80,80.8,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",27,26,96.3,25,15,60.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",399,398,99.7,397,137,34.5,142,35.8,105,26.4,13,3.3,118,29.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",307,307,100.0,306,45,14.7,89,29.1,124,40.5,48,15.7,172,56.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",211,210,99.5,210,78,37.1,70,33.3,47,22.4,15,7.1,62,29.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",215,213,99.1,213,45,21.1,58,27.2,69,32.4,41,19.2,110,51.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",83,83,100.0,83,22,26.5,28,33.7,16,19.3,17,20.5,33,39.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",167,166,99.4,166,9,5.4,36,21.7,68,41.0,53,31.9,121,72.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",235,221,94.0,219,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",24,24,100.0,24,"*","*",9,37.5,10,41.7,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",523,520,99.4,520,"*","*",65,12.5,225,43.3,"*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",239,233,97.5,233,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",223,223,100.0,223,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",24,24,100.0,24,"*","*",13,54.2,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",533,528,99.1,527,"*","*",49,9.3,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",185,178,96.2,177,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",36,33,91.7,23,12,52.2,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",212,205,96.7,181,52,28.7,59,32.6,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",97,97,100.0,97,28,28.9,33,34.0,30,30.9,6,6.2,36,37.1
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",604,604,100.0,604,47,7.8,141,23.3,282,46.7,134,22.2,416,68.9
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",38,38,100.0,38,10,26.3,7,18.4,15,39.5,6,15.8,21,55.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",190,190,100.0,190,18,9.5,37,19.5,68,35.8,67,35.3,135,71.1
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",33,33,100.0,33,13,39.4,8,24.2,6,18.2,6,18.2,12,36.4
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",265,265,100.0,263,25,9.5,51,19.4,110,41.8,77,29.3,187,71.1
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",23,23,100.0,23,11,47.8,8,34.8,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",107,107,100.0,107,11,10.3,19,17.8,"*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",17,17,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",223,217,97.3,217,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Y",25,25,100.0,25,"*","*",10,40.0,6,24.0,"*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","N",76,76,100.0,76,"*","*",18,23.7,26,34.2,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",40,37,92.5,37,14,37.8,14,37.8,"*","*","*","*",9,24.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",206,203,98.5,202,"*","*",49,24.3,79,39.1,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",132,127,96.2,127,18,14.2,50,39.4,39,30.7,20,15.7,59,46.5
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",561,558,99.5,558,46,8.2,99,17.7,247,44.3,166,29.7,413,74.0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","N",85,84,98.8,84,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",76,75,98.7,75,15,20.0,22,29.3,24,32.0,14,18.7,38,50.7
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",311,310,99.7,310,25,8.1,41,13.2,110,35.5,134,43.2,244,78.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",51,51,100.0,51,"*","*",16,31.4,19,37.3,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",60,58,96.7,58,"*","*","*","*",29,50.0,14,24.1,43,74.1
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",112,112,100.0,112,26,23.2,34,30.4,41,36.6,11,9.8,52,46.4
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",93,91,97.8,91,17,18.7,23,25.3,36,39.6,15,16.5,51,56.0
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",115,115,100.0,115,35,30.4,51,44.3,29,25.2,0,0.0,29,25.2
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",94,89,94.7,89,10,11.2,35,39.3,36,40.4,8,9.0,44,49.4
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",58,55,94.8,55,21,38.2,"*","*",18,32.7,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",70,63,90.0,63,"*","*",22,34.9,23,36.5,"*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Y",128,127,99.2,127,35,27.6,41,32.3,35,27.6,16,12.6,51,40.2
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","N",116,115,99.1,115,28,24.3,21,18.3,37,32.2,29,25.2,66,57.4
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",59,59,100.0,59,15,25.4,12,20.3,21,35.6,11,18.6,32,54.2
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",300,297,99.0,297,25,8.4,47,15.8,111,37.4,114,38.4,225,75.8
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
