"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, High Needs (F/R, EL or"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",419,415,99.0,415,126,30.4,138,33.3,102,24.6,49,11.8,151,36.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",125,125,100.0,125,43,34.4,47,37.6,15,12.0,20,16.0,35,28.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",32,32,100.0,32,"*","*",11,34.4,10,31.3,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",135,133,98.5,133,"*","*",30,22.6,38,28.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",63,56,88.9,56,33,58.9,12,21.4,"*","*","*","*",11,19.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",49,47,95.9,47,15,31.9,13,27.7,"*","*","*","*",19,40.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",291,284,97.6,284,158,55.6,93,32.7,25,8.8,8,2.8,33,11.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",103,102,99.0,102,40,39.2,36,35.3,16,15.7,10,9.8,26,25.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",255,255,100.0,255,118,46.3,98,38.4,30,11.8,9,3.5,39,15.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",106,106,100.0,106,29,27.4,48,45.3,21,19.8,8,7.5,29,27.4
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",245,245,100.0,245,102,41.6,105,42.9,29,11.8,9,3.7,38,15.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",104,103,99.0,103,30,29.1,33,32.0,27,26.2,13,12.6,40,38.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",423,422,99.8,422,237,56.2,126,29.9,47,11.1,12,2.8,59,14.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",283,282,99.6,282,66,23.4,103,36.5,70,24.8,43,15.2,113,40.1
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",232,229,98.7,229,142,62.0,71,31.0,"*","*","*","*",16,7.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",194,194,100.0,194,76,39.2,65,33.5,"*","*","*","*",53,27.3
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",99,99,100.0,98,47,48.0,23,23.5,16,16.3,12,12.2,28,28.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",151,150,99.3,150,22,14.7,50,33.3,52,34.7,26,17.3,78,52.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",35,33,94.3,33,17,51.5,11,33.3,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",211,198,93.8,198,21,10.6,42,21.2,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",77,77,100.0,77,23,29.9,29,37.7,14,18.2,11,14.3,25,32.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",470,470,100.0,470,14,3.0,71,15.1,133,28.3,252,53.6,385,81.9
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",38,38,100.0,38,"*","*",12,31.6,8,21.1,"*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",218,218,100.0,218,"*","*","*","*",87,39.9,96,44.0,183,83.9
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",216,216,100.0,216,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",80,79,98.8,79,37,46.8,27,34.2,"*","*","*","*",15,19.0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",477,475,99.6,475,"*","*",88,18.5,161,33.9,"*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",41,39,95.1,39,26,66.7,"*","*","*","*",0,0.0,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",163,157,96.3,157,"*","*",61,38.9,"*","*",25,15.9,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",54,46,85.2,39,24,61.5,13,33.3,"*","*","*","*","*","*"
