"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*","*","*",2440
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,89,88,98.9,88,21,23.9,22,25.0,30,34.1,15,17.0,45,51.1,2435
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,76,76,100.0,76,11,14.5,30,39.5,19,25.0,16,21.1,35,46.1,2485
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,90,88,97.8,88,42,47.7,37,42.0,"*","*","*","*",9,10.2,2454
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,99,99,100.0,99,31,31.3,32,32.3,27,27.3,9,9.1,36,36.4,2507
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,78,78,100.0,78,30,38.5,28,35.9,"*","*","*","*",20,25.6,2506
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,79,79,100.0,79,24,30.4,22,27.8,11,13.9,22,27.8,33,41.8,2556
