"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,79,79,100.0,79,24,30.4,28,35.4,"*","*","*","*",27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,89,88,98.9,88,20,22.7,27,30.7,14,15.9,27,30.7,41,46.6,2434
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,76,76,100.0,76,22,28.9,16,21.1,19,25.0,19,25.0,38,50.0,2471
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,90,89,98.9,89,28,31.5,"*","*",29,32.6,"*","*","*","*",2475
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,99,99,100.0,99,26,26.3,22,22.2,38,38.4,13,13.1,51,51.5,2522
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,78,78,100.0,78,"*","*",27,34.6,28,35.9,"*","*","*","*",2549
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,79,79,100.0,79,11,13.9,24,30.4,28,35.4,16,20.3,44,55.7,2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,33,32,97.0,32,6,18.8,6,18.8,8,25.0,12,37.5,20,62.5,2613
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,35,35,100.0,35,"*","*","*","*","*","*",23,65.7,"*","*",2498
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,43,42,97.7,42,"*","*",7,16.7,"*","*",24,57.1,"*","*",2543
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,48,46,95.8,46,"*","*","*","*",14,30.4,24,52.2,38,82.6,2578
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,41,40,97.6,40,"*","*","*","*",14,35.0,16,40.0,30,75.0,2589
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,112,104,92.9,104,10,9.6,27,26.0,41,39.4,26,25.0,67,64.4,2614
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,185,181,97.8,181,55,30.4,63,34.8,53,29.3,10,5.5,63,34.8,2521
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,209,205,98.1,205,78,38.0,58,28.3,49,23.9,20,9.8,69,33.7,2527
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,88,88,100.0,88,27,30.7,28,31.8,13,14.8,20,22.7,33,37.5,2413
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,95,95,100.0,95,39,41.1,24,25.3,24,25.3,8,8.4,32,33.7,2438
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,89,89,100.0,89,33,37.1,24,27.0,24,27.0,8,9.0,32,36.0,2469
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,88,88,100.0,88,34,38.6,29,33.0,"*","*","*","*",25,28.4,2476
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,87,87,100.0,87,23,26.4,24,27.6,23,26.4,17,19.5,40,46.0,2420
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,93,91,97.8,91,38,41.8,19,20.9,15,16.5,19,20.9,34,37.4,2446
