"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, Gender"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"F",33,33,100.0,33,8,24.2,8,24.2,9,27.3,8,24.2,17,51.5,2430
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"M",46,46,100.0,46,17,37.0,10,21.7,12,26.1,7,15.2,19,41.3,2411
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"F",45,45,100.0,45,15,33.3,"*","*",13,28.9,"*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"M",35,35,100.0,35,11,31.4,"*","*",11,31.4,"*","*","*","*",2456
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",68,68,100.0,68,21,30.9,"*","*",26,38.2,"*","*","*","*",2485
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"M",78,78,100.0,78,40,51.3,"*","*",20,25.6,"*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"F",41,41,100.0,41,"*","*",17,41.5,12,29.3,"*","*","*","*",2528
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"M",38,38,100.0,38,18,47.4,11,28.9,"*","*","*","*",9,23.7,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"F",32,31,96.9,31,9,29.0,"*","*",13,41.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"M",45,43,95.6,43,13,30.2,"*","*",12,27.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",30,30,100.0,30,"*","*",10,33.3,12,40.0,"*","*","*","*",2546
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"M",29,29,100.0,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2634
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"F",40,39,97.5,39,"*","*",15,38.5,"*","*",15,38.5,"*","*",2444
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"M",49,49,100.0,49,"*","*",12,24.5,"*","*",12,24.5,"*","*",2426
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"F",40,40,100.0,40,10,25.0,"*","*",10,25.0,"*","*","*","*",2469
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"M",36,36,100.0,36,12,33.3,"*","*","*","*",10,27.8,"*","*",2473
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",37,37,100.0,37,"*","*",7,18.9,20,54.1,"*","*","*","*",2512
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"M",53,52,98.1,52,22,42.3,20,38.5,"*","*","*","*",10,19.2,2448
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"F",51,51,100.0,51,13,25.5,"*","*",20,39.2,"*","*","*","*",2530
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"M",48,48,100.0,48,"*","*",14,29.2,18,37.5,"*","*","*","*",2514
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"F",42,42,100.0,42,"*","*",15,35.7,16,38.1,"*","*","*","*",2552
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"M",36,36,100.0,36,"*","*",12,33.3,12,33.3,"*","*","*","*",2545
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",41,41,100.0,41,"*","*",14,34.1,13,31.7,"*","*","*","*",2586
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"M",38,38,100.0,38,"*","*",10,26.3,15,39.5,"*","*","*","*",2581
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"M",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*",2544
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F",26,24,92.3,24,"*","*","*","*",6,25.0,15,62.5,21,87.5,2588
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"M",22,22,100.0,22,"*","*","*","*",8,36.4,9,40.9,17,77.3,2566
