"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",453,450,99.3,450,100,22.2,119,26.4,162,36.0,69,15.3,231,51.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",25,23,92.0,23,"*","*","*","*",7,30.4,6,26.1,13,56.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",134,133,99.3,133,"*","*","*","*",38,28.6,66,49.6,104,78.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",249,240,96.4,240,109,45.4,74,30.8,49,20.4,8,3.3,57,23.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",104,103,99.0,103,36,35.0,31,30.1,27,26.2,9,8.7,36,35.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",239,239,100.0,239,104,43.5,69,28.9,46,19.2,20,8.4,66,27.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",107,107,100.0,107,32,29.9,26,24.3,31,29.0,18,16.8,49,45.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",237,232,97.9,232,83,35.8,66,28.4,58,25.0,25,10.8,83,35.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",114,112,98.2,112,22,19.6,27,24.1,38,33.9,25,22.3,63,56.3
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",138,134,97.1,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",7,6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",451,451,100.0,451,197,43.7,119,26.4,111,24.6,24,5.3,135,29.9
