"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"ELA","Y",90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Math","Y",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"ELA","Y",91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Math","Y",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"ELA","Y",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Math","Y",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"ELA","Y",145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Math","Y",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"ELA","Y",57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Math","Y",57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"ELA","Y",65,64,98.5,64,10,15.6,22,34.4,20,31.3,12,18.8,32,50.0,2577
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Math","Y",65,65,100.0,65,22,33.8,21,32.3,14,21.5,8,12.3,22,33.8,2534
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","Y",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2481
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","Y",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2501
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2496
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2508
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2525
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","Y",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*",2541
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","Y",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*",2530
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA","Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2554
