"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, English Learner Status"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",520,517,99.4,516,160,31.0,"*","*",158,30.6,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",31,31,100.0,31,19,61.3,"*","*",8,25.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",502,500,99.6,500,"*","*",139,27.8,154,30.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",42,41,97.6,41,18,43.9,"*","*",10,24.4,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",388,380,97.9,380,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",351,351,100.0,351,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",341,339,99.4,339,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",142,131,92.3,124,95,76.6,19,15.3,10,8.1,0,0.0,10,8.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",656,655,99.8,653,144,22.1,221,33.8,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",50,50,100.0,50,38,76.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
