"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",269,268,99.6,268,66,24.6,73,27.2,91,34.0,38,14.2,129,48.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",282,280,99.3,279,113,40.5,67,24.0,75,26.9,24,8.6,99,35.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",268,266,99.3,266,47,17.7,73,27.4,85,32.0,61,22.9,146,54.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",276,275,99.6,275,80,29.1,76,27.6,79,28.7,40,14.5,119,43.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",78,76,97.4,76,"*","*","*","*",19,25.0,48,63.2,67,88.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",89,87,97.8,87,"*","*","*","*",24,27.6,39,44.8,63,72.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",57,52,91.2,52,"*","*",15,28.8,23,44.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","M",55,52,94.5,52,"*","*","*","*",18,34.6,15,28.8,33,63.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",193,190,98.4,190,52,27.4,59,31.1,63,33.2,16,8.4,79,41.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",201,196,97.5,196,81,41.3,62,31.6,39,19.9,14,7.1,53,27.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",180,180,100.0,180,51,28.3,58,32.2,47,26.1,24,13.3,71,39.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",180,180,100.0,180,82,45.6,47,26.1,34,18.9,17,9.4,51,28.3
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",168,166,98.8,166,41,24.7,48,28.9,50,30.1,27,16.3,77,46.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",181,180,99.4,180,73,40.6,58,32.2,31,17.2,18,10.0,49,27.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F",18,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
