"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, Gender"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"F",48,48,100.0,48,"*","*",15,31.3,14,29.2,"*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"M",42,40,95.2,40,"*","*","*","*",10,25.0,16,40.0,26,65.0,2462
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"F",43,43,100.0,43,7,16.3,19,44.2,9,20.9,8,18.6,17,39.5,2470
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"M",48,47,97.9,47,11,23.4,13,27.7,10,21.3,13,27.7,23,48.9,2487
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",80,79,98.8,79,34,43.0,33,41.8,"*","*","*","*",12,15.2,2462
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"M",64,64,100.0,63,36,57.1,16,25.4,"*","*","*","*",11,17.5,2442
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"F",63,62,98.4,62,28,45.2,18,29.0,"*","*","*","*",16,25.8,2481
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"M",82,81,98.8,81,41,50.6,27,33.3,"*","*","*","*",13,16.0,2466
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"F",32,32,100.0,32,14,43.8,11,34.4,"*","*","*","*","*","*",2484
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"M",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*",2450
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",30,30,100.0,30,10,33.3,10,33.3,"*","*","*","*",10,33.3,2535
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"M",35,35,100.0,35,12,34.3,11,31.4,"*","*","*","*",12,34.3,2534
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"F",50,50,100.0,50,"*","*",12,24.0,18,36.0,"*","*","*","*",2451
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"M",41,40,97.6,40,"*","*","*","*",16,40.0,12,30.0,28,70.0,2465
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"F",44,43,97.7,43,7,16.3,13,30.2,12,27.9,11,25.6,23,53.5,2498
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"M",48,47,97.9,47,6,12.8,15,31.9,14,29.8,12,25.5,26,55.3,2499
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",48,48,100.0,48,15,31.3,16,33.3,8,16.7,9,18.8,17,35.4,2503
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"M",46,45,97.8,45,19,42.2,11,24.4,6,13.3,9,20.0,15,33.3,2489
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"F",40,40,100.0,40,"*","*",19,47.5,"*","*",10,25.0,"*","*",2557
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"M",50,50,100.0,50,"*","*",18,36.0,11,22.0,"*","*","*","*",2512
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"F",46,46,100.0,46,10,21.7,15,32.6,13,28.3,8,17.4,21,45.7,2540
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"M",43,43,100.0,43,14,32.6,9,20.9,10,23.3,10,23.3,20,46.5,2535
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",39,39,100.0,39,"*","*",14,35.9,14,35.9,"*","*","*","*",2569
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"M",43,42,97.7,42,12,28.6,11,26.2,"*","*","*","*",19,45.2,2567
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"M",20,20,100.0,20,0,0.0,"*","*","*","*","*","*","*","*",2517
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"M",29,27,93.1,27,"*","*","*","*","*","*","*","*","*","*",2574
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"F",27,27,100.0,27,"*","*","*","*","*","*",11,40.7,"*","*",2584
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"M",21,21,100.0,21,"*","*","*","*","*","*",11,52.4,"*","*",2594
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"F",69,67,97.1,67,32,47.8,28,41.8,"*","*","*","*",7,10.4,2472
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"M",100,94,94.0,94,44,46.8,30,31.9,"*","*","*","*",20,21.3,2493
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"F",99,97,98.0,96,48,50.0,34,35.4,"*","*","*","*",14,14.6,2500
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"M",85,85,100.0,85,36,42.4,29,34.1,"*","*","*","*",20,23.5,2519
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"F",41,41,100.0,41,15,36.6,16,39.0,"*","*","*","*",10,24.4,2396
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"M",42,42,100.0,42,15,35.7,17,40.5,"*","*","*","*",10,23.8,2393
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"F",37,37,100.0,37,10,27.0,16,43.2,"*","*","*","*",11,29.7,2454
