"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, High Needs (F/R, EL or"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",455,452,99.3,452,102,22.6,119,26.3,162,35.8,69,15.3,231,51.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",83,82,98.8,82,7,8.5,15,18.3,37,45.1,23,28.0,60,73.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",34,32,94.1,32,"*","*",9,28.1,9,28.1,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",125,124,99.2,124,"*","*","*","*",36,29.0,66,53.2,102,82.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",267,257,96.3,257,123,47.9,76,29.6,50,19.5,8,3.1,58,22.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",86,86,100.0,86,22,25.6,29,33.7,26,30.2,9,10.5,35,40.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",250,250,100.0,250,111,44.4,71,28.4,48,19.2,20,8.0,68,27.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",96,96,100.0,96,25,26.0,24,25.0,29,30.2,18,18.8,47,49.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",251,246,98.0,246,93,37.8,68,27.6,59,24.0,26,10.6,85,34.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",100,98,98.0,98,12,12.2,25,25.5,37,37.8,24,24.5,61,62.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",470,470,100.0,470,206,43.8,127,27.0,112,23.8,25,5.3,137,29.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",254,254,100.0,254,38,15.0,72,28.3,91,35.8,53,20.9,144,56.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",250,248,99.2,248,98,39.5,65,26.2,60,24.2,25,10.1,85,34.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",163,163,100.0,163,28,17.2,37,22.7,58,35.6,40,24.5,98,60.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",88,88,100.0,88,26,29.5,27,30.7,26,29.5,9,10.2,35,39.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",143,143,100.0,143,9,6.3,24,16.8,56,39.2,54,37.8,110,76.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",79,78,98.7,78,"*","*",35,44.9,21,26.9,"*","*","*","*"
