"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",22861,22425,98.1,22393,2466,11.0,4286,19.1,6133,27.4,9508,42.5,15641,69.8,2469
"State of Connecticut",03,"Y",15897,15616,98.2,15592,6296,40.4,4581,29.4,2955,19.0,1760,11.3,4715,30.2,2390
"State of Connecticut",04,"N",23959,23547,98.3,23521,3082,13.1,3889,16.5,6411,27.3,10139,43.1,16550,70.4,2512
"State of Connecticut",04,"Y",15366,15099,98.3,15076,6876,45.6,3552,23.6,2949,19.6,1699,11.3,4648,30.8,2427
"State of Connecticut",05,"N",24443,24026,98.3,23999,2757,11.5,3621,15.1,8877,37.0,8744,36.4,17621,73.4,2547
"State of Connecticut",05,"Y",15111,14832,98.2,14816,6014,40.6,3716,25.1,3808,25.7,1278,8.6,5086,34.3,2464
"State of Connecticut",06,"N",25461,24982,98.1,24949,2330,9.3,5230,21.0,10186,40.8,7203,28.9,17389,69.7,2568
"State of Connecticut",06,"Y",15080,14794,98.1,14760,5377,36.4,4729,32.0,3715,25.2,939,6.4,4654,31.5,2487
"State of Connecticut",07,"N",25136,24503,97.5,24467,2612,10.7,4515,18.5,11077,45.3,6263,25.6,17340,70.9,2591
"State of Connecticut",07,"Y",14814,14356,96.9,14313,5586,39.0,3933,27.5,3970,27.7,824,5.8,4794,33.5,2508
"State of Connecticut",08,"N",26256,25474,97.0,25427,2690,10.6,5687,22.4,10994,43.2,6056,23.8,17050,67.1,2601
"State of Connecticut",08,"Y",14729,14238,96.7,14182,5208,36.7,4654,32.8,3667,25.9,653,4.6,4320,30.5,2520
"State of Connecticut",11,"N",27307,22287,81.6,22109,3471,15.7,4770,21.6,7837,35.4,6031,27.3,13868,62.7,2608
"State of Connecticut",11,"Y",12549,10387,82.8,10259,3696,36.0,3164,30.8,2604,25.4,795,7.7,3399,33.1,2533

