"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",296,295,99.7,295,68,23.1,73,24.7,98,33.2,56,19.0,154,52.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",296,294,99.3,294,102,34.7,82,27.9,67,22.8,43,14.6,110,37.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",267,266,99.6,266,37,13.9,68,25.6,111,41.7,50,18.8,161,60.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",271,268,98.9,268,72,26.9,66,24.6,88,32.8,42,15.7,130,48.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",75,74,98.7,74,"*","*","*","*",19,25.7,41,55.4,60,81.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",84,82,97.6,82,"*","*","*","*",26,31.7,31,37.8,57,69.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",168,164,97.6,164,57,34.8,58,35.4,41,25.0,8,4.9,49,29.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",185,179,96.8,179,88,49.2,47,26.3,35,19.6,9,5.0,44,24.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",171,171,100.0,171,53,31.0,55,32.2,41,24.0,22,12.9,63,36.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",175,175,100.0,175,83,47.4,40,22.9,36,20.6,16,9.1,52,29.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",179,173,96.6,173,44,25.4,49,28.3,51,29.5,29,16.8,80,46.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",172,171,99.4,171,61,35.7,44,25.7,45,26.3,21,12.3,66,38.6
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M",126,122,96.8,121,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",351,351,100.0,351,105,29.9,99,28.2,109,31.1,38,10.8,147,41.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","M",373,373,100.0,373,139,37.3,100,26.8,94,25.2,40,10.7,134,35.9
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",213,213,100.0,213,52,24.4,55,25.8,65,30.5,41,19.2,106,49.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",200,198,99.0,198,74,37.4,47,23.7,53,26.8,24,12.1,77,38.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",117,117,100.0,117,12,10.3,21,17.9,40,34.2,44,37.6,84,71.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",114,114,100.0,114,23,20.2,30,26.3,42,36.8,19,16.7,61,53.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F",255,253,99.2,253,10,4.0,29,11.5,103,40.7,111,43.9,214,84.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","M",285,285,100.0,285,12,4.2,46,16.1,109,38.2,118,41.4,227,79.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","F",117,117,100.0,117,6,5.1,19,16.2,30,25.6,62,53.0,92,78.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","M",125,125,100.0,125,7,5.6,21,16.8,29,23.2,68,54.4,97,77.6
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","F",107,106,99.1,106,6,5.7,12,11.3,23,21.7,65,61.3,88,83.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","M",106,106,100.0,106,9,8.5,11,10.4,23,21.7,63,59.4,86,81.1
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F",275,274,99.6,274,13,4.7,30,10.9,83,30.3,148,54.0,231,84.3
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","M",275,275,100.0,275,22,8.0,39,14.2,101,36.7,113,41.1,214,77.8
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F",86,84,97.7,84,"*","*","*","*",28,33.3,31,36.9,59,70.2
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","M",89,84,94.4,84,"*","*","*","*",29,34.5,23,27.4,52,61.9
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",301,300,99.7,300,21,7.0,55,18.3,144,48.0,80,26.7,224,74.7
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","M",374,374,100.0,374,47,12.6,91,24.3,155,41.4,81,21.7,236,63.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F",104,104,100.0,104,6,5.8,23,22.1,34,32.7,41,39.4,75,72.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","M",123,122,99.2,122,18,14.8,29,23.8,33,27.0,42,34.4,75,61.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F",131,131,100.0,131,8,6.1,27,20.6,51,38.9,45,34.4,96,73.3
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","M",153,152,99.3,151,18,11.9,32,21.2,48,31.8,53,35.1,101,66.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F",64,64,100.0,64,"*","*","*","*",21,32.8,29,45.3,50,78.1
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","M",66,65,98.5,65,"*","*","*","*",21,32.3,23,35.4,44,67.7
