"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",35685,35295,98.9,35282,7261,20.6,8207,23.3,11115,31.5,8699,24.7,19814,56.2,2444
"State of Connecticut",03,"Y",3611,3589,99.4,3585,1886,52.6,995,27.8,567,15.8,137,3.8,704,19.6,2377
"State of Connecticut",04,"N",35833,35409,98.8,35399,6585,18.6,10776,30.4,10291,29.1,7747,21.9,18038,51.0,2484
"State of Connecticut",04,"Y",3009,2993,99.5,2985,1653,55.4,969,32.5,285,9.5,78,2.6,363,12.2,2405
"State of Connecticut",05,"N",36646,36231,98.9,36222,10081,27.8,10406,28.7,7570,20.9,8165,22.5,15735,43.4,2508
"State of Connecticut",05,"Y",2735,2720,99.5,2716,1988,73.2,557,20.5,133,4.9,38,1.4,171,6.3,2415
"State of Connecticut",06,"N",37423,36842,98.4,36832,9837,26.7,11278,30.6,8110,22.0,7607,20.7,15717,42.7,2528
"State of Connecticut",06,"Y",2150,2134,99.3,2130,1702,79.9,344,16.2,55,2.6,29,1.4,84,3.9,2401
"State of Connecticut",07,"N",38615,37882,98.1,37871,9969,26.3,11289,29.8,9116,24.1,7497,19.8,16613,43.9,2545
"State of Connecticut",07,"Y",2114,2089,98.8,2083,1657,79.5,329,15.8,62,3.0,35,1.7,97,4.7,2415
"State of Connecticut",08,"N",38294,37388,97.6,37374,12084,32.3,9546,25.5,7598,20.3,8146,21.8,15744,42.1,2558
"State of Connecticut",08,"Y",1845,1812,98.2,1805,1553,86.0,197,10.9,33,1.8,22,1.2,55,3.0,2419

