"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Y",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Y",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Y",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Y",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Y",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2430
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2470
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",64,63,98.4,63,"*","*",20,31.7,21,33.3,"*","*","*","*",2478
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",26,26,100.0,26,9,34.6,"*","*",8,30.8,"*","*","*","*",2467
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Y",74,74,100.0,74,19,25.7,"*","*",31,41.9,"*","*","*","*",2518
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"N",25,25,100.0,25,7,28.0,"*","*",7,28.0,"*","*","*","*",2535
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Y",53,53,100.0,53,"*","*",16,30.2,19,35.8,"*","*","*","*",2546
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"N",25,25,100.0,25,"*","*",11,44.0,9,36.0,"*","*","*","*",2555
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",54,54,100.0,54,11,20.4,14,25.9,20,37.0,9,16.7,29,53.7,2571
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",25,25,100.0,25,0,0.0,10,40.0,8,32.0,7,28.0,15,60.0,2610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2596
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2501
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Y",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N",36,36,100.0,36,0,0.0,"*","*","*","*","*","*","*","*",2602
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"N",33,32,97.0,32,0,0.0,"*","*","*","*","*","*","*","*",2603
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Y",63,59,93.7,59,"*","*",18,30.5,24,40.7,"*","*","*","*",2596
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"N",49,45,91.8,45,"*","*","*","*",17,37.8,17,37.8,34,75.6,2637
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Y",141,137,97.2,137,"*","*",48,35.0,34,24.8,"*","*","*","*",2509
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"N",44,44,100.0,44,"*","*",15,34.1,19,43.2,"*","*","*","*",2560
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Y",150,147,98.0,147,63,42.9,44,29.9,29,19.7,11,7.5,40,27.2,2514
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",59,58,98.3,58,15,25.9,14,24.1,20,34.5,9,15.5,29,50.0,2562
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Y",58,58,100.0,58,19,32.8,"*","*","*","*",10,17.2,"*","*",2401
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"N",30,30,100.0,30,8,26.7,"*","*","*","*",10,33.3,"*","*",2436
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Y",67,67,100.0,67,30,44.8,"*","*",13,19.4,"*","*","*","*",2431
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N",28,28,100.0,28,9,32.1,"*","*",11,39.3,"*","*","*","*",2456
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Y",60,60,100.0,60,25,41.7,18,30.0,"*","*","*","*",17,28.3,2454
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",29,29,100.0,29,8,27.6,"*","*",11,37.9,"*","*","*","*",2501
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Y",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",2467
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Y",62,62,100.0,62,"*","*","*","*",13,21.0,8,12.9,21,33.9,2401
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"N",25,25,100.0,25,"*","*","*","*",10,40.0,9,36.0,19,76.0,2468
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Y",62,61,98.4,61,31,50.8,"*","*",8,13.1,"*","*","*","*",2428
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"N",31,30,96.8,30,"*","*","*","*",7,23.3,12,40.0,19,63.3,2483
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Y",61,61,100.0,61,"*","*","*","*",16,26.2,"*","*","*","*",2465
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",24,23,95.8,23,"*","*","*","*",8,34.8,"*","*","*","*",2501
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Y",60,60,100.0,60,21,35.0,27,45.0,"*","*","*","*",12,20.0,2474
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"N",24,24,100.0,24,"*","*",9,37.5,8,33.3,"*","*","*","*",2512
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Y",24,24,100.0,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,2303
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Y",21,21,100.0,20,14,70.0,6,30.0,0,0.0,0,0.0,0,0.0,2387
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Y",24,21,87.5,20,13,65.0,"*","*","*","*",0,0.0,"*","*",2403
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Y",29,27,93.1,26,18,69.2,"*","*","*","*",0,0.0,"*","*",2443
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Y",22,19,86.4,16,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Y",158,158,100.0,158,53,33.5,54,34.2,"*","*","*","*",51,32.3,2487
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"N",88,88,100.0,88,"*","*",33,37.5,35,39.8,"*","*","*","*",2541
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Y",145,144,99.3,144,55,38.2,51,35.4,31,21.5,7,4.9,38,26.4,2500
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"N",88,88,100.0,87,13,14.9,21,24.1,40,46.0,13,14.9,53,60.9,2561
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Y",120,120,100.0,119,39,32.8,48,40.3,"*","*","*","*",32,26.9,2521
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"N",107,107,100.0,107,"*","*",24,22.4,46,43.0,"*","*","*","*",2588
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"Y",41,40,97.6,40,18,45.0,13,32.5,"*","*","*","*",9,22.5,2375
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"N",33,33,100.0,33,"*","*",11,33.3,7,21.2,"*","*","*","*",2429
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"Y",43,42,97.7,42,24,57.1,12,28.6,"*","*","*","*",6,14.3,2408
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"N",31,31,100.0,31,7,22.6,13,41.9,"*","*","*","*",11,35.5,2459
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"Y",40,40,100.0,40,14,35.0,"*","*",10,25.0,"*","*","*","*",2472
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"N",34,34,100.0,34,6,17.6,"*","*",17,50.0,"*","*","*","*",2528
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"Y",37,37,100.0,37,"*","*",14,37.8,10,27.0,"*","*","*","*",2493
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"N",34,34,100.0,34,"*","*",13,38.2,13,38.2,"*","*","*","*",2559
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"Y",42,41,97.6,41,13,31.7,9,22.0,13,31.7,6,14.6,19,46.3,2538
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"N",28,28,100.0,28,6,21.4,6,21.4,10,35.7,6,21.4,16,57.1,2559
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"Y",29,29,100.0,29,9,31.0,13,44.8,"*","*","*","*",7,24.1,2517
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"N",34,34,100.0,34,"*","*",8,23.5,13,38.2,"*","*","*","*",2579
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"N",26,26,100.0,26,0,0.0,"*","*","*","*","*","*","*","*",2502
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2547
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*",2532
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"N",32,32,100.0,32,0,0.0,"*","*","*","*","*","*","*","*",2575
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"Y",22,22,100.0,22,"*","*",9,40.9,6,27.3,"*","*","*","*",2539
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N",27,26,96.3,26,"*","*",6,23.1,14,53.8,"*","*","*","*",2602
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,"Y",35,32,91.4,31,15,48.4,"*","*",6,19.4,"*","*","*","*",2519
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,"N",211,200,94.8,199,14,7.0,"*","*",63,31.7,"*","*","*","*",2660
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"Y",44,44,100.0,44,"*","*",16,36.4,17,38.6,"*","*","*","*",2542
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"N",228,228,100.0,228,"*","*",16,7.0,105,46.1,"*","*","*","*",2637
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"Y",33,30,90.9,30,"*","*",16,53.3,10,33.3,"*","*","*","*",2555
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",242,242,100.0,242,"*","*",26,10.7,103,42.6,"*","*","*","*",2652
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"Y",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"N",101,99,98.0,99,0,0.0,"*","*","*","*","*","*","*","*",2516
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"Y",26,24,92.3,24,"*","*",7,29.2,6,25.0,"*","*","*","*",2440
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"N",117,116,99.1,116,"*","*",12,10.3,27,23.3,"*","*","*","*",2540
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"N",98,98,100.0,98,"*","*","*","*","*","*","*","*","*","*",2519
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"N",118,118,100.0,118,"*","*","*","*","*","*","*","*","*","*",2545
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"Y",38,36,94.7,36,"*","*",10,27.8,10,27.8,"*","*","*","*",2481
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",243,242,99.6,242,"*","*",25,10.3,84,34.7,"*","*","*","*",2581
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"Y",42,41,97.6,40,"*","*",12,30.0,12,30.0,"*","*","*","*",2510
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"N",234,233,99.6,233,"*","*",15,6.4,99,42.5,"*","*","*","*",2620
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"N",34,32,94.1,32,"*","*","*","*","*","*","*","*","*","*",2468
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"N",42,40,95.2,40,"*","*","*","*","*","*","*","*","*","*",2524
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N",36,35,97.2,35,0,0.0,"*","*","*","*","*","*","*","*",2566
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"N",51,51,100.0,50,0,0.0,"*","*","*","*","*","*","*","*",2581
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,"Y",54,47,87.0,32,16,50.0,"*","*","*","*",0,0.0,"*","*",2491
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,"N",194,191,98.5,172,48,27.9,55,32.0,"*","*","*","*","*","*",2558
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,"Y",42,42,100.0,42,14,33.3,14,33.3,"*","*","*","*",14,33.3,2495
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,"N",200,200,100.0,200,"*","*",43,21.5,96,48.0,"*","*","*","*",2573
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,"Y",53,53,100.0,53,20,37.7,20,37.7,13,24.5,0,0.0,13,24.5,2498
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,"N",162,162,100.0,162,7,4.3,32,19.8,87,53.7,36,22.2,123,75.9,2596
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"Y",51,51,100.0,51,16,31.4,20,39.2,"*","*","*","*",15,29.4,2528
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"N",193,193,100.0,193,"*","*",45,23.3,94,48.7,"*","*","*","*",2615
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"Y",24,24,100.0,24,"*","*","*","*",6,25.0,"*","*","*","*",2384
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"N",36,36,100.0,36,"*","*","*","*",12,33.3,"*","*","*","*",2472
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"N",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*",2536
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N",68,68,100.0,68,"*","*","*","*","*","*","*","*","*","*",2546
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"N",72,72,100.0,72,"*","*","*","*","*","*","*","*","*","*",2454
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"Y",20,20,100.0,20,"*","*",7,35.0,"*","*","*","*","*","*",2437
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"N",89,89,100.0,89,"*","*",16,18.0,"*","*","*","*","*","*",2508
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N",88,88,100.0,86,"*","*","*","*","*","*","*","*","*","*",2553
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2463
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"N",42,42,100.0,42,0,0.0,"*","*","*","*","*","*","*","*",2512
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*",2555
