"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Race/Ethnicity"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Race","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",430,428,99.5,427,136,31.9,113,26.5,129,30.2,49,11.5,178,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",110,109,99.1,109,41,37.6,25,22.9,35,32.1,8,7.3,43,39.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","White","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American",327,325,99.4,325,78,24.0,99,30.5,96,29.5,52,16.0,148,45.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",200,199,99.5,199,47,23.6,49,24.6,62,31.2,41,20.6,103,51.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","White",155,152,98.1,152,"*","*","*","*",40,26.3,81,53.3,121,79.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",23,22,95.7,22,"*","*",9,40.9,7,31.8,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",68,63,92.6,63,"*","*","*","*",27,42.9,21,33.3,48,76.2
