"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",544,540,99.3,540,169,31.3,185,34.3,117,21.7,69,12.8,186,34.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",167,165,98.8,165,9,5.5,41,24.8,48,29.1,67,40.6,115,69.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",112,103,92.0,103,48,46.6,25,24.3,18,17.5,12,11.7,30,29.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",394,386,98.0,386,198,51.3,129,33.4,41,10.6,18,4.7,59,15.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""",361,361,100.0,361,147,40.7,146,40.4,51,14.1,17,4.7,68,18.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",349,348,99.7,348,132,37.9,138,39.7,56,16.1,22,6.3,78,22.4
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",143,130,90.9,127,118,92.9,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",706,704,99.7,704,303,43.0,229,32.5,117,16.6,55,7.8,172,24.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",426,423,99.3,423,218,51.5,136,32.2,52,12.3,17,4.0,69,16.3
"Ashford School District","=""0030011""","Ashford School","=""0030111""",250,249,99.6,248,69,27.8,73,29.4,68,27.4,38,15.3,106,42.7
"Avon School District","=""0040011""","Avon High School","=""0046111""",246,"*","*","*",38,16.5,53,22.9,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",547,547,100.0,547,37,6.8,100,18.3,147,26.9,263,48.1,410,75.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",256,256,100.0,256,13,5.1,46,18.0,95,37.1,102,39.8,197,77.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",234,"*",234,"*","*","*","*",81,34.6,105,44.9,186,79.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",557,554,99.5,554,52,9.4,115,20.8,171,30.9,216,39.0,387,69.9
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",248,238,96.0,221,67,30.3,71,32.1,52,23.5,31,14.0,83,37.6
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",700,699,99.9,699,139,19.9,241,34.5,180,25.8,139,19.9,319,45.6
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",228,228,100.0,228,35,15.4,55,24.1,82,36.0,56,24.6,138,60.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",298,298,100.0,296,44,14.9,95,32.1,107,36.1,50,16.9,157,53.0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",130,130,100.0,130,25,19.2,54,41.5,31,23.8,20,15.4,51,39.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",240,234,97.5,234,31,13.2,64,27.4,76,32.5,63,26.9,139,59.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",101,101,100.0,101,25,24.8,44,43.6,25,24.8,7,6.9,32,31.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",246,239,97.2,239,92,38.5,61,25.5,62,25.9,24,10.0,86,36.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",693,687,99.1,687,177,25.8,243,35.4,150,21.8,117,17.0,267,38.9
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",96,96,100.0,96,8,8.3,38,39.6,36,37.5,14,14.6,50,52.1
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",387,386,99.7,385,57,14.8,138,35.8,122,31.7,68,17.7,190,49.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",110,107,97.3,107,45,42.1,31,29.0,24,22.4,7,6.5,31,29.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",204,204,100.0,204,90,44.1,68,33.3,38,18.6,8,3.9,46,22.5
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",208,206,99.0,206,94,45.6,81,39.3,"*","*","*","*",31,15.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",128,118,92.2,118,58,49.2,39,33.1,"*","*","*","*",21,17.8
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",9,0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",245,244,99.6,244,98,40.2,92,37.7,46,18.9,8,3.3,54,22.1
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",359,357,99.4,357,56,15.7,97,27.2,100,28.0,104,29.1,204,57.1
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",85,83,97.6,83,22,26.5,26,31.3,18,21.7,17,20.5,35,42.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",129,129,100.0,129,46,35.7,33,25.6,37,28.7,13,10.1,50,38.8
"Branford School District","=""0140011""","Branford High School","=""0146111""",241,224,92.9,224,145,64.7,32,14.3,34,15.2,13,5.8,47,21.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",14,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",904,883,97.7,882,241,27.3,264,29.9,198,22.4,179,20.3,377,42.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",133,133,100.0,133,15,11.3,28,21.1,56,42.1,34,25.6,90,67.7
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",161,161,100.0,161,16,9.9,43,26.7,58,36.0,44,27.3,102,63.4
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",155,153,98.7,152,29,19.1,32,21.1,54,35.5,37,24.3,91,59.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",564,562,99.6,562,255,45.4,152,27.0,108,19.2,47,8.4,155,27.6
