"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Special Education Statu"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",535,534,99.8,534,131,24.5,141,26.4,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",57,55,96.5,55,39,70.9,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",501,498,99.4,498,81,16.3,"*","*","*","*",92,18.5,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",37,36,97.3,36,28,77.8,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",286,282,98.6,282,98,34.8,92,32.6,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",67,61,91.0,61,47,77.0,"*","*","*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",297,297,100.0,297,96,32.3,"*","*","*","*",38,12.8,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",49,49,100.0,49,40,81.6,"*","*","*","*",0,0.0,"*","*"
