"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Y",79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Y",80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Y",79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*",11,13.9,2440
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Y",77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Y",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2431
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2488
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",61,59,96.7,59,28,47.5,25,42.4,"*","*","*","*","*","*",2458
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",29,29,100.0,29,14,48.3,"*","*","*","*",0,0.0,"*","*",2445
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Y",71,71,100.0,71,"*","*",26,36.6,21,29.6,"*","*","*","*",2504
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"N",28,28,100.0,28,12,42.9,"*","*",6,21.4,"*","*","*","*",2515
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Y",52,52,100.0,52,20,38.5,17,32.7,"*","*","*","*","*","*",2510
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"N",26,26,100.0,26,10,38.5,11,42.3,"*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",50,50,100.0,50,16,32.0,"*","*","*","*",14,28.0,"*","*",2560
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",29,29,100.0,29,"*","*",10,34.5,"*","*",8,27.6,"*","*",2548
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2577
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N",29,29,100.0,29,0,0.0,"*","*","*","*","*","*","*","*",2475
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*",2557
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"N",35,34,97.1,34,"*","*","*","*","*","*","*","*","*","*",2610
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Y",62,55,88.7,55,32,58.2,12,21.8,"*","*","*","*",11,20.0,2532
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"N",50,48,96.0,48,16,33.3,13,27.1,"*","*","*","*",19,39.6,2593
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Y",136,132,97.1,132,60,45.5,52,39.4,"*","*","*","*",20,15.2,2487
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"N",49,49,100.0,49,16,32.7,19,38.8,"*","*","*","*",14,28.6,2521
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Y",145,142,97.9,142,92,64.8,37,26.1,"*","*","*","*",13,9.2,2466
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",64,63,98.4,63,30,47.6,21,33.3,"*","*","*","*",12,19.0,2509
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Y",56,56,100.0,56,16,28.6,23,41.1,"*","*","*","*",17,30.4,2410
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"N",32,32,100.0,32,8,25.0,"*","*",12,37.5,"*","*","*","*",2436
