"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",348,345,99.1,345,88,25.5,91,26.4,105,30.4,61,17.7,166,48.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",60,60,100.0,60,10,16.7,20,33.3,17,28.3,13,21.7,30,50.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",51,48,94.1,48,"*","*",17,35.4,19,39.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",50,45,90.0,45,"*","*","*","*","*","*",17,37.8,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",229,222,96.9,222,97,43.7,72,32.4,"*","*","*","*",53,23.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",113,112,99.1,112,27,24.1,32,28.6,39,34.8,14,12.5,53,47.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","R",52,52,100.0,52,"*","*",17,32.7,21,40.4,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",210,210,100.0,210,83,39.5,72,34.3,39,18.6,16,7.6,55,26.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",119,119,100.0,119,40,33.6,24,20.2,36,30.3,19,16.0,55,46.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","R",31,31,100.0,31,10,32.3,9,29.0,6,19.4,6,19.4,12,38.7
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
