"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",503,499,99.2,498,199,40.0,"*","*","*","*",33,6.6,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",48,48,100.0,48,43,89.6,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",512,510,99.6,510,144,28.2,"*","*","*","*",69,13.5,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",32,30,93.8,30,25,83.3,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",158,156,98.7,156,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",106,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",339,333,98.2,333,155,46.5,119,35.7,41,12.3,18,5.4,59,17.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",55,53,96.4,53,43,81.1,10,18.9,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",311,311,100.0,311,105,33.8,140,45.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",50,50,100.0,50,42,84.0,6,12.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",294,293,99.7,293,91,31.1,126,43.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",55,55,100.0,55,41,74.5,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",137,"*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",625,624,99.8,624,234,37.5,221,35.4,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",81,80,98.8,80,69,86.3,8,10.0,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",372,371,99.7,371,171,46.1,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",54,52,96.3,52,47,90.4,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",219,218,99.5,217,46,21.2,67,30.9,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",31,31,100.0,31,23,74.2,6,19.4,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",221,208,94.1,208,"*","*",45,21.6,69,33.2,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",25,23,92.0,23,12,52.2,"*","*",0,0.0,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",495,495,100.0,495,"*","*",77,15.6,139,28.1,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",52,52,100.0,52,19,36.5,23,44.2,"*","*","*","*",10,19.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",243,243,100.0,243,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",224,224,100.0,224,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",503,501,99.6,501,25,5.0,98,19.6,"*","*","*","*",378,75.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",54,53,98.1,53,27,50.9,17,32.1,"*","*","*","*",9,17.0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",176,170,96.6,170,25,14.7,"*","*","*","*",25,14.7,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",28,26,92.9,26,20,76.9,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",224,220,98.2,209,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",24,18,75.0,12,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",633,633,100.0,633,"*","*",229,36.2,"*","*",139,22.0,"*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",67,66,98.5,66,52,78.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",203,203,100.0,203,"*","*",46,22.7,76,37.4,"*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",25,25,100.0,25,9,36.0,9,36.0,"*","*","*","*",7,28.0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",274,274,100.0,272,"*","*",89,32.7,"*","*",50,18.4,"*","*"
