"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Special Education Stat"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",535,530,99.1,530,178,33.6,181,34.2,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",57,56,98.2,55,44,80.0,8,14.5,"*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",501,498,99.4,498,"*","*",154,30.9,"*","*",114,22.9,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",37,35,94.6,35,27,77.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",286,282,98.6,281,114,40.6,106,37.7,37,13.2,24,8.5,61,21.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",67,61,91.0,61,46,75.4,15,24.6,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",297,297,100.0,297,102,34.3,114,38.4,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",49,49,100.0,49,39,79.6,"*","*","*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",292,289,99.0,289,76,26.3,114,39.4,"*","*","*","*",99,34.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",59,54,91.5,54,38,70.4,8,14.8,"*","*","*","*",8,14.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",136,124,91.2,124,"*","*","*","*","*","*",0,0.0,"*","*"
