"FTE Staffing Report for 2004-05"

"District","School","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Amistad Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0
="Andover School District",="Andover Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Ansonia School District",="Ansonia High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Ansonia Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Mead School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Prendergast School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.5
,="Collaborative Alternative Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Thomas Edison Magnet Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Wintergreen Interdistrict Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Ashford School District",="Ashford School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Avon School District",="Avon High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0
,="Avon Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Pine Grove School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Roaring Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Thompson Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Berlin School District",="Berlin High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.8
,="Catherine M. McGee Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Emma Hart Willard School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Mary E. Griswold School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Richard D. Hubbard School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Bethany School District",="Bethany Community School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Bethel School District",="Anna H. Rockwell School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Bethel High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Bethel Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Frank A. Berry School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Ralph M. T. Johnson School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Bloomfield School District",="Bloomfield High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.1
,="Carmen Arace Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Carmen Arace Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="J. P. Vincent School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Laurel School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Metacomet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Bolton School District",="Bolton Center School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Bolton High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Bozrah School District",="Fields Memorial School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
="Branford School District",="Branford High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3
,="Francis Walsh Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Indian Neck School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8
,="John B. Sliney School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Mary R. Tisko School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Mary T. Murphy School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
="Bridgeport School District",="Barnum School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Bassick High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0
