"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","General Education - Teachers and Instructors","Certified",70.0
="Amistad Academy District",="Amistad Academy",="General Education - Teachers and Instructors",="Certified",89.3
="Andover School District",="Andover Elementary School",="General Education - Teachers and Instructors",="Certified",24.7
="Ansonia School District",="Ansonia High School",="General Education - Teachers and Instructors",="Certified",45.3
,="Ansonia Middle School",="General Education - Teachers and Instructors",="Certified",23.7
,="Mead School",="General Education - Teachers and Instructors",="Certified",36.5
,="Prendergast School",="General Education - Teachers and Instructors",="Certified",39.5
="Area Cooperative Educational Services",="Mill Road School",="General Education - Teachers and Instructors",="Certified",7.5
,="Thomas Edison Magnet Middle School",="General Education - Teachers and Instructors",="Certified",53.6
,="Village School",="General Education - Teachers and Instructors",="Certified",3.0
,="Whitney High School East",="General Education - Teachers and Instructors",="Certified",1.5
,="Whitney High School North",="General Education - Teachers and Instructors",="Certified",4.0
,="Whitney High School West",="General Education - Teachers and Instructors",="Certified",1.5
,="Wintergreen Interdistrict Magnet School",="General Education - Teachers and Instructors",="Certified",39.0
="Ashford School District",="Ashford School",="General Education - Teachers and Instructors",="Certified",38.0
="Avon School District",="Avon High School",="General Education - Teachers and Instructors",="Certified",72.4
,="Avon Middle School",="General Education - Teachers and Instructors",="Certified",39.7
,="Pine Grove School",="General Education - Teachers and Instructors",="Certified",33.7
,="Roaring Brook School",="General Education - Teachers and Instructors",="Certified",32.0
,="Thompson Brook School",="General Education - Teachers and Instructors",="Certified",35.8
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Teachers and Instructors",="Certified",20.5
="Berlin School District",="Berlin High School",="General Education - Teachers and Instructors",="Certified",70.9
,="Catherine M. McGee Middle School",="General Education - Teachers and Instructors",="Certified",52.2
,="Emma Hart Willard School",="General Education - Teachers and Instructors",="Certified",30.3
,="Mary E. Griswold School",="General Education - Teachers and Instructors",="Certified",37.3
,="Richard D. Hubbard School",="General Education - Teachers and Instructors",="Certified",17.9
="Bethany School District",="Bethany Community School",="General Education - Teachers and Instructors",="Certified",36.0
="Bethel School District",="Anna H. Rockwell School",="General Education - Teachers and Instructors",="Certified",26.4
,="Bethel High School",="General Education - Teachers and Instructors",="Certified",74.0
,="Bethel Middle School",="General Education - Teachers and Instructors",="Certified",46.6
,="Frank A. Berry School",="General Education - Teachers and Instructors",="Certified",29.4
,="Ralph M. T. Johnson School",="General Education - Teachers and Instructors",="Certified",24.8
="Bloomfield School District",="Bloomfield High School",="General Education - Teachers and Instructors",="Certified",52.7
,="Carmen Arace Intermediate School",="General Education - Teachers and Instructors",="Certified",20.3
,="Carmen Arace Middle School",="General Education - Teachers and Instructors",="Certified",24.0
,="Global Experience Magnet School",="General Education - Teachers and Instructors",="Certified",17.5
,="Laurel School",="General Education - Teachers and Instructors",="Certified",27.9
,="Learning Academy at Bloomfield",="General Education - Teachers and Instructors",="Certified",1.0
,="Metacomet School",="General Education - Teachers and Instructors",="Certified",20.6
,="Wintonbury Early Childhood Magnet School",="General Education - Teachers and Instructors",="Certified",19.4
="Bolton School District",="Bolton Center School",="General Education - Teachers and Instructors",="Certified",33.8
,="Bolton High School",="General Education - Teachers and Instructors",="Certified",25.2
="Bozrah School District",="Fields Memorial School",="General Education - Teachers and Instructors",="Certified",19.0
