"FTE Staffing Report for 2001-02"

"District","School","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Amistad Academy","General Education - Paraprofessional Instructional Assistants","Non-Certified",1.0
="Andover School District",="Andover Elementary School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.1
="Ansonia School District",="Ansonia High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5
,="Ansonia Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5
,="Mead School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.1
,="Prendergast School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
,="Thomas Edison Magnet Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0
,="Wintergreen Interdistrict Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8
="Ashford School District",="Ashford School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
="Avon School District",="Avon High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Avon Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5
,="Pine Grove School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
,="Roaring Brook School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.1
="Berlin School District",="Berlin High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.3
,="Catherine M. McGee Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
,="Emma Hart Willard School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.9
,="Mary E. Griswold School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.8
,="Richard D. Hubbard School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9
="Bethany School District",="Bethany Community School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5
="Bethel School District",="Anna H. Rockwell School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5
,="Bethel High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
,="Bethel Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Frank A. Berry School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5
,="Ralph M. T. Johnson School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
="Bloomfield School District",="J. P. Vincent School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0
,="Laurel School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
="Bolton School District",="Bolton Center School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0
,="Bolton High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
="Bozrah School District",="Fields Memorial School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2
="Branford School District",="Branford High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5
,="Francis Walsh Intermediate School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
,="John B. Sliney School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5
