"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, High Needs Status"

"",,,,"Non-Graduates",,,
"District","School","High Needs Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",154,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-High Needs",54,"*","*","*","*"
"Avon School District","Avon High School","High Needs",44,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",216,"*","*","*","*"
"Berlin School District","Berlin High School","High Needs",52,"*","*","*","*"
"Berlin School District","Berlin High School","Non-High Needs",211,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",60,"*","*","*","*"
"Bethel School District","Bethel High School","Non-High Needs",173,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","High Needs",70,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-High Needs",51,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","High Needs",17,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-High Needs",13,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","*","*","*","*","*"
"Bolton School District","Bolton High School","High Needs",20,"*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",61,"*","*","*","*"
"Branford School District","Branford High School","High Needs",81,"*","*","*","*"
"Branford School District","Branford High School","Non-High Needs",188,"*","*","*","*"
"Bridgeport School District","Bassick High School","High Needs",312,7,2.2,95,30.4
"Bridgeport School District","Bassick High School","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","Central High School","High Needs",537,9,1.7,88,16.4
"Bridgeport School District","Central High School","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","Harding High School","High Needs",328,"*","*",114,34.8
"Bridgeport School District","Harding High School","Non-High Needs","*","*","*","*","*"
"Bristol School District","Bristol Central High School","High Needs",149,"*","*",33,22.1
"Bristol School District","Bristol Central High School","Non-High Needs",162,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","High Needs",138,"*","*",26,18.8
"Bristol School District","Bristol Eastern High School","Non-High Needs",165,"*","*","*","*"
"Brookfield School District","Brookfield High School","High Needs",39,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-High Needs",199,"*","*","*","*"
"Canton School District","Canton High School","High Needs",30,"*","*","*","*"
"Canton School District","Canton High School","Non-High Needs",92,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","High Needs",18,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-High Needs",20,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",53,"*","*",8,15.1
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",33,"*","*","*","*"
