"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Non-Graduates",,,
"District","School","Special Education Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",27,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",165,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",18,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",230,"*","*","*","*"
"Avon School District","Avon High School","Special Education",24,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",232,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",28,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",222,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",24,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",143,"*","*",18,12.6
"Bloomfield School District","Bloomfield High School","Special Education",24,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,"*","*","*","*"
"Branford School District","Branford High School","Special Education",28,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",285,"*","*",88,30.9
"Bridgeport School District","Bassick High School","Special Education",50,"*","*",20,40.0
"Bridgeport School District","Central High School","Non-Special Education",562,10,1.8,106,18.9
"Bridgeport School District","Central High School","Special Education",34,"*","*",9,26.5
"Bridgeport School District","Harding High School","Non-Special Education",376,7,1.9,172,45.7
"Bridgeport School District","Harding High School","Special Education",57,"*","*",40,70.2
"Bristol School District","Bristol Central High School","Non-Special Education",298,"*","*",54,18.1
"Bristol School District","Bristol Central High School","Special Education",33,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",330,"*","*",40,12.1
"Bristol School District","Bristol Eastern High School","Special Education",34,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",253,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",10,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",102,"*","*","*","*"
"Canton School District","Canton High School","Special Education",16,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",103,"*","*",8,7.8
"Capitol Region Education Council","Great Path Academy at MCC","Special Education",14,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",59,"*","*",10,16.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",100,"*","*",8,8.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",329,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",35,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",125,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",19,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",224,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",26,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education",30,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",144,"*","*",11,7.6
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",7,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",186,"*","*",9,4.8
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",93,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",118,"*","*",22,18.6
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",113,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",12,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",112,"*","*",6,5.4
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education",7,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",165,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",17,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",118,"*","*",13,11.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",11,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",131,"*","*",9,6.9
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",26,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",127,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",101,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Special Education",10,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",173,"*","*",11,6.4
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education",19,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",182,"*","*",6,3.3
"Connecticut Technical High School System","Platt Technical High School","Special Education",17,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",113,"*","*",8,7.1
"Connecticut Technical High School System","Vinal Technical High School","Special Education",21,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",149,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-Special Education",118,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Special Education",8,"*","*","*","*"
"Coventry School District","Coventry High School","Non-Special Education",133,"*","*","*","*"
"Coventry School District","Coventry High School","Special Education",19,"*","*","*","*"
"Cromwell School District","Cromwell High School","Non-Special Education",147,"*","*","*","*"
"Cromwell School District","Cromwell High School","Special Education",19,"*","*","*","*"
"Danbury School District","Danbury High School","Non-Special Education",649,9,1.4,89,13.7
"Danbury School District","Danbury High School","Special Education",67,6,9.0,16,23.9
"Darien School District","Darien High School","Non-Special Education",291,"*","*","*","*"
"Darien School District","Darien High School","Special Education",35,"*","*","*","*"
"Derby School District","Derby High School","Non-Special Education",115,"*","*","*","*"
"Derby School District","Derby High School","Special Education",6,"*","*","*","*"
"East Granby School District","East Granby High School","Non-Special Education",69,"*","*","*","*"
"East Granby School District","East Granby High School","Special Education",7,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-Special Education","*","*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Special Education","*","*","*","*","*"
"East Hampton School District","East Hampton High School","Non-Special Education",125,"*","*","*","*"
"East Hampton School District","East Hampton High School","Special Education",11,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-Special Education",33,"*","*","*","*"
"East Hartford School District","East Hartford High School","Non-Special Education",452,"*","*",59,13.1
"East Hartford School District","East Hartford High School","Special Education",52,"*","*","*","*"
"East Haven School District","East Haven High School","Non-Special Education",269,"*","*","*","*"
"East Haven School District","East Haven High School","Special Education",23,"*","*","*","*"
"East Lyme School District","East Lyme High School","Non-Special Education",289,"*","*","*","*"
"East Lyme School District","East Lyme High School","Special Education",35,"*","*","*","*"
"East Windsor School District","East Windsor High School","Non-Special Education",79,"*","*","*","*"
"East Windsor School District","East Windsor High School","Special Education",11,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-Special Education","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-Special Education",39,"*","*",8,20.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Special Education","*","*","*","*","*"
"Ellington School District","Ellington High School","Non-Special Education",166,"*","*","*","*"
"Ellington School District","Ellington High School","Special Education",16,"*","*","*","*"
"Enfield School District","Enfield High School","Non-Special Education",209,"*","*",26,12.4
"Enfield School District","Enfield High School","Special Education",28,"*","*","*","*"
"Enfield School District","Enrico Fermi High School","Non-Special Education",256,"*","*",26,10.2
"Enfield School District","Enrico Fermi High School","Special Education",19,"*","*","*","*"
"Explorations District","Explorations","Non-Special Education",21,"*","*","*","*"
"Explorations District","Explorations","Special Education",9,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-Special Education",321,"*","*",8,2.5
"Fairfield School District","Fairfield Ludlowe High School","Special Education",29,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-Special Education",277,"*","*",6,2.2
"Fairfield School District","Fairfield Warde High School","Special Education",24,"*","*","*","*"
"Farmington School District","Farmington High School","Non-Special Education",306,"*","*","*","*"
"Farmington School District","Farmington High School","Special Education",27,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-Special Education",479,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Special Education",63,"*","*","*","*"
"Granby School District","Granby Memorial High School","Non-Special Education",181,"*","*","*","*"
"Granby School District","Granby Memorial High School","Special Education",12,"*","*","*","*"
"Greenwich School District","Greenwich High School","Non-Special Education",568,"*","*","*","*"
"Greenwich School District","Greenwich High School","Special Education",64,"*","*","*","*"
"Griswold School District","Griswold High School","Non-Special Education",176,"*","*",19,10.8
"Griswold School District","Griswold High School","Special Education",22,"*","*",11,50.0
"Groton School District","Robert E. Fitch High School","Non-Special Education",299,"*","*",44,14.7
"Groton School District","Robert E. Fitch High School","Special Education",28,"*","*",10,35.7
