"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","School","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",13,12,92.3
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",84,61,72.6
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",43,39,90.7
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",72,65,90.3
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",272,268,98.5
"Berlin School District","Berlin High School","Eligible For Free Lunch",19,19,100.0
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,8,88.9
"Berlin School District","Berlin High School","Not Eligible For Lunch",228,224,98.2
"Bethel School District","Bethel High School","Eligible For Free Lunch",20,20,100.0
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,15,100.0
"Bethel School District","Bethel High School","Not Eligible For Lunch",200,194,97.0
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",68,60,88.2
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",22,21,95.5
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",74,72,97.3
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",9,7,77.8
"Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",62,62,100.0
"Branford School District","Branford High School","Eligible For Free Lunch",38,36,94.7
"Branford School District","Branford High School","Eligible For Reduced Lunch",21,20,95.2
"Branford School District","Branford High School","Not Eligible For Lunch",194,186,95.9
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",292,162,55.5
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",8,"*","*"
"Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",523,438,83.7
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",40,35,87.5
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",339,224,66.1
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",17,15,88.2
"Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",99,79,79.8
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",38,34,89.5
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",194,184,94.8
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",68,53,77.9
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",29,26,89.7
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",191,180,94.2
"Brookfield School District","Brookfield High School","Eligible For Free Lunch","*","*","*"
