"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Gender"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",15,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",8,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",73,59,80.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",77,62,80.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",147,147,100.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",122,120,98.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",113,110,97.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",119,116,97.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",116,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",128,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",65,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",69,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",16,16,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",10,10,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",53,51,96.2
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",47,47,100.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",150,142,94.7
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",145,131,90.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",166,117,70.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",172,111,64.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",286,250,87.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",269,217,80.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",156,127,81.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",151,92,60.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",154,141,91.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",173,146,84.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",174,162,93.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",169,144,85.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",115,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",115,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",65,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",69,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Female",17,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Male",14,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",75,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",19,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Female",41,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Male",6,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",50,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",47,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Female",14,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Male",31,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",185,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",179,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",58,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",70,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",139,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",108,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",15,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",14,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",96,91,94.8
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",87,84,96.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",91,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",94,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",63,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",80,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",46,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",64,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",50,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",77,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",38,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",88,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",62,60,96.8
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",115,113,98.3
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",19,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",92,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",53,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",90,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",48,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",106,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",63,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",92,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",46,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",99,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",65,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",142,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",44,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",97,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",77,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",105,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",42,42,100.0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",87,85,97.7
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",69,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",61,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",72,68,94.4
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",60,55,91.7
