"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",23,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL",269,267,99.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL",238,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL",6,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL",26,26,100.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL",9,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",100,98,98.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",279,187,67.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",59,41,69.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",503,432,85.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",52,35,67.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",248,181,73.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",59,38,64.4
