"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",134,112,83.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",16,9,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",244,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",25,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",202,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",30,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",212,204,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",32,27,84.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",120,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",14,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",93,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",7,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",254,236,92.9
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",41,37,90.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",298,206,69.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",40,22,55.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",504,426,84.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",51,41,80.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",264,197,74.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",43,22,51.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",284,250,88.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",43,37,86.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",279,252,90.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",64,54,84.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",210,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",20,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",117,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",17,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",86,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",8,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-Special Education",39,"*","*"
