"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",18,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL",190,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL",9,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL",164,153,93.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-ELL",17,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",70,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",232,132,56.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",73,35,47.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",506,425,84.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",58,49,84.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",288,194,67.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",70,46,65.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",320,286,89.4
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",11,11,"*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",278,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",10,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL",117,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL",78,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*","*","*"
