"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",208,9,4.3,27,13.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",260,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",263,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",233,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",121,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",30,0,0.0,0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",81,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",269,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",314,7,2.2,96,30.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",540,9,1.7,88,16.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",332,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",311,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",303,8,2.6,34,11.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",238,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",122,"*","*",0,0.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",38,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",86,0,0.0,13,15.1
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",90,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",355,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",143,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",250,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,0,0.0,"*","*"
