"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, High Needs Status"

"",,,,"Graduates",
"District","School","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",154,121,78.6
"Ansonia School District","Ansonia High School","Non-High Needs",54,51,94.4
"Avon School District","Avon High School","High Needs",44,42,95.5
"Avon School District","Avon High School","Non-High Needs",216,215,99.5
"Berlin School District","Berlin High School","High Needs",52,45,86.5
"Berlin School District","Berlin High School","Non-High Needs",211,208,98.6
"Bethel School District","Bethel High School","High Needs",60,49,81.7
"Bethel School District","Bethel High School","Non-High Needs",173,173,100.0
"Bloomfield School District","Bloomfield High School","High Needs",70,66,94.3
"Bloomfield School District","Bloomfield High School","Non-High Needs",51,50,98.0
"Bloomfield School District","Global Experience Magnet School","High Needs",17,17,100.0
"Bloomfield School District","Global Experience Magnet School","Non-High Needs",13,13,100.0
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","*","*","*"
"Bolton School District","Bolton High School","High Needs",20,18,90.0
"Bolton School District","Bolton High School","Non-High Needs",61,60,98.4
"Branford School District","Branford High School","High Needs",81,74,91.4
"Branford School District","Branford High School","Non-High Needs",188,179,95.2
"Bridgeport School District","Bassick High School","High Needs",312,210,67.3
"Bridgeport School District","Bassick High School","Non-High Needs","*","*","*"
"Bridgeport School District","Central High School","High Needs",537,440,81.9
"Bridgeport School District","Central High School","Non-High Needs","*","*","*"
"Bridgeport School District","Harding High School","High Needs",328,210,64.0
"Bridgeport School District","Harding High School","Non-High Needs","*","*","*"
"Bristol School District","Bristol Central High School","High Needs",149,112,75.2
"Bristol School District","Bristol Central High School","Non-High Needs",162,156,96.3
"Bristol School District","Bristol Eastern High School","High Needs",138,107,77.5
"Bristol School District","Bristol Eastern High School","Non-High Needs",165,154,93.3
"Brookfield School District","Brookfield High School","High Needs",39,36,92.3
"Brookfield School District","Brookfield High School","Non-High Needs",199,197,99.0
"Canton School District","Canton High School","High Needs",30,29,96.7
"Canton School District","Canton High School","Non-High Needs",92,92,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","High Needs",18,16,88.9
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-High Needs",20,19,95.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",53,45,84.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",33,28,84.8
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","High Needs",47,44,93.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-High Needs",43,42,97.7
"Cheshire School District","Cheshire High School","High Needs",62,58,93.5
"Cheshire School District","Cheshire High School","Non-High Needs",293,290,99.0
"Clinton School District","The Morgan School","High Needs",52,44,84.6
"Clinton School District","The Morgan School","Non-High Needs",91,87,95.6
"Colchester School District","Bacon Academy","High Needs",53,46,86.8
"Colchester School District","Bacon Academy","Non-High Needs",197,193,98.0
"Common Ground High School District","Common Ground High School","High Needs",30,28,93.3
"Common Ground High School District","Common Ground High School","Non-High Needs",8,8,100.0
"Connecticut Technical High School System","A. I. Prince Technical High School","High Needs",146,135,92.5
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-High Needs","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","High Needs",168,162,96.4
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-High Needs",28,27,96.4
"Connecticut Technical High School System","E. C. Goodwin Technical High School","High Needs",97,93,95.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-High Needs",33,33,100.0
"Connecticut Technical High School System","Eli Whitney Technical High School","High Needs",116,100,86.2
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-High Needs","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","High Needs",91,89,97.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-High Needs",56,56,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","High Needs",64,63,98.4
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-High Needs",52,49,94.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School","High Needs",91,91,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-High Needs",87,86,98.9
"Connecticut Technical High School System","H. H. Ellis Technical High School","High Needs",51,51,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-High Needs",62,62,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","High Needs",82,78,95.1
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-High Needs",66,65,98.5
"Connecticut Technical High School System","Howell Cheney Technical High School","High Needs",82,80,97.6
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-High Needs",86,84,97.7
"Connecticut Technical High School System","Norwich Technical High School","High Needs",78,78,100.0
"Connecticut Technical High School System","Norwich Technical High School","Non-High Needs",76,74,97.4
"Connecticut Technical High School System","Oliver Wolcott Technical High School","High Needs",48,48,100.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-High Needs",118,117,99.2
"Connecticut Technical High School System","Platt Technical High School","High Needs",96,94,97.9
"Connecticut Technical High School System","Platt Technical High School","Non-High Needs",111,111,100.0
"Connecticut Technical High School System","Vinal Technical High School","High Needs",64,59,92.2
"Connecticut Technical High School System","Vinal Technical High School","Non-High Needs",77,75,97.4
"Connecticut Technical High School System","W. F. Kaynor Technical High School","High Needs",106,103,97.2
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-High Needs",86,85,98.8
"Connecticut Technical High School System","Windham Technical High School","High Needs",61,60,98.4
"Connecticut Technical High School System","Windham Technical High School","Non-High Needs",71,71,100.0
"Coventry School District","Coventry High School","High Needs",40,31,77.5
"Coventry School District","Coventry High School","Non-High Needs",95,91,95.8
"Cromwell School District","Cromwell High School","High Needs",41,37,90.2
"Cromwell School District","Cromwell High School","Non-High Needs",99,96,97.0
"Danbury School District","Alternative Center For Excellence","High Needs",27,"*","*"
"Danbury School District","Alternative Center For Excellence","Non-High Needs",6,"*","*"
"Danbury School District","Danbury High School","High Needs",408,313,76.7
"Danbury School District","Danbury High School","Non-High Needs",327,315,96.3
"Darien School District","Darien High School","High Needs",41,38,92.7
"Darien School District","Darien High School","Non-High Needs",271,268,98.9
