"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, Gender"

"",,,"Graduates",,,
"",,,"Five-Year Graduation Rate by Year",,,
"District","School","Gender","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Amistad Academy","Female",64.7,"*",91.7,93.3
"Amistad Academy District","Amistad Academy","Male",60.0,"*",81.8,87.5
"Ansonia School District","Ansonia High School","Female",77.4,87.8,89.5,80.8
"Ansonia School District","Ansonia High School","Male",78.9,78.2,75.7,80.5
"Avon School District","Avon High School","Female",98.5,99.3,99.2,100.0
"Avon School District","Avon High School","Male",97.5,96.5,98.6,98.4
"Berlin School District","Berlin High School","Female",95.2,99.3,95.7,97.3
"Berlin School District","Berlin High School","Male",94.9,96.5,96.7,97.5
"Bethel School District","Bethel High School","Female",96.2,97.6,94.0,98.3
"Bethel School District","Bethel High School","Male",93.0,97.2,96.6,91.4
"Bloomfield School District","Bloomfield High School","Female",87.5,92.9,96.6,98.5
"Bloomfield School District","Bloomfield High School","Male",80.5,93.8,95.2,88.4
"Bloomfield School District","Global Experience Magnet School","Female","N/A","N/A",100.0,100.0
"Bloomfield School District","Global Experience Magnet School","Male","N/A","N/A",100.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","Female","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","N/A","N/A","*","*"
"Bloomfield School District","The Big Picture High School","Female","*","*","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Male","*","*","N/A","N/A"
"Bolton School District","Bolton High School","Female",95.7,94.6,97.7,96.2
"Bolton School District","Bolton High School","Male",96.0,97.0,94.6,100.0
"Branford School District","Branford High School","Female",96.2,96.1,93.5,94.7
"Branford School District","Branford High School","Male",95.8,95.2,94.8,90.3
"Bridgeport School District","Bassick High School","Female",67.9,56.9,68.4,70.5
"Bridgeport School District","Bassick High School","Male",64.8,52.8,66.0,64.5
"Bridgeport School District","Central High School","Female",86.6,87.6,84.4,87.4
"Bridgeport School District","Central High School","Male",70.3,80.3,79.5,80.7
"Bridgeport School District","Harding High School","Female",54.5,74.7,71.5,81.4
"Bridgeport School District","Harding High School","Male",42.7,58.7,56.9,60.9
