"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,20,87.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",208,172,82.7
"Avon School District","=""0040011""","Avon High School","=""0046111""",260,257,98.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",263,253,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",233,222,95.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",121,116,95.9
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",30,30,100.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",81,78,96.3
"Branford School District","=""0140011""","Branford High School","=""0146111""",269,253,94.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",314,211,67.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",540,443,82.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",332,213,64.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",311,268,86.2
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",303,261,86.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",238,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",122,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",38,35,92.1
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",86,73,84.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",90,86,95.6
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",355,348,98.0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",143,131,91.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",250,239,95.6
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",166,152,91.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",196,189,96.4
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",130,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",119,103,86.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",147,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",116,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",113,113,100.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",148,143,96.6
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",168,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",166,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,134,95.0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",132,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",135,122,90.4
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",140,133,95.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",33,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",735,628,85.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",312,306,98.1
"Derby School District","=""0370011""","Derby High School","=""0376111""",84,70,83.3
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",69,67,97.1
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",95,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",129,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",38,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",368,327,88.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",116,77,66.4
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",238,184,77.3
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",306,295,96.4
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",92,81,88.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",26,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",40,33,82.5
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",197,186,94.4
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",13,10,"*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",182,156,85.7
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",255,242,94.9
"Explorations District","=""2720013""","Explorations","=""2726113""",30,21,70.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",383,368,96.1
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",313,293,93.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",318,"*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",545,536,98.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,190,98.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",684,664,97.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",166,151,91.0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",319,270,84.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",277,264,95.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",441,400,90.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",176,135,76.7
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,33,100.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",88,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",75,51,68.0
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",68,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",116,79,68.1
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",142,103,72.5
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",123,103,83.7
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",105,80,76.2
