"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",18,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",199,165,82.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",283,277,97.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",256,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",235,229,97.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",164,153,93.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",17,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",70,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",253,242,95.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",305,167,54.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",564,474,84.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",358,240,67.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",331,297,89.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",288,259,89.9
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",252,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",117,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",75,64,85.3
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",97,87,89.7
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",78,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",395,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",120,113,94.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",240,235,97.9
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",30,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",170,160,94.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",203,193,95.1
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",129,122,94.6
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",125,115,92.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",154,148,96.1
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",134,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",205,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",131,"*","*"
