"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",18,15,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",105,79,75.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",37,31,83.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",66,62,93.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch",247,245,99.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch",25,21,84.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch",9,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",229,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch",25,19,76.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch",15,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",193,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",46,43,93.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch",20,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch",55,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch",10,10,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch",6,6,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch",14,14,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch",71,68,95.8
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch",38,34,89.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Reduced Lunch",21,19,90.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Not Eligible For Lunch",210,200,95.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Free Lunch",295,197,66.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Free Lunch",505,410,81.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Free Lunch",304,192,63.2
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Not Eligible For Lunch","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Free Lunch",85,59,69.4
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",44,36,81.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Not Eligible For Lunch",182,173,95.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",67,48,71.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",35,28,80.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",201,185,92.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Free Lunch",18,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Reduced Lunch",8,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Not Eligible For Lunch",212,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible For Free Lunch",8,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible For Reduced Lunch",8,8,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Not Eligible For Lunch",106,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch",9,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch",7,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch",22,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Free Lunch",37,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Reduced Lunch",10,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Not Eligible For Lunch",39,33,84.6
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Eligible For Free Lunch",34,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Eligible For Reduced Lunch",11,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Not Eligible For Lunch",45,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible For Free Lunch",18,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible For Reduced Lunch",11,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Not Eligible For Lunch",326,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible For Free Lunch",20,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible For Reduced Lunch",8,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Not Eligible For Lunch",115,106,92.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible For Free Lunch",18,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible For Reduced Lunch",14,"*","*"
