"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, Special Education Status"

"",,,"Graduates",,,
"",,,"Five-Year Graduation Rate by Year",,,
"District","School","Special Education Status","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Amistad Academy","Non-Special Education",63.0,94.4,"*","*"
"Amistad Academy District","Amistad Academy","Special Education","N/A","N/A","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",80.0,84.6,82.3,83.6
"Ansonia School District","Ansonia High School","Special Education",61.1,70.8,86.4,56.3
"Avon School District","Avon High School","Non-Special Education",97.8,98.4,99.1,99.6
"Avon School District","Avon High School","Special Education",100.0,94.3,96.7,96.0
"Berlin School District","Berlin High School","Non-Special Education",95.7,97.7,97.1,98.5
"Berlin School District","Berlin High School","Special Education",89.3,100.0,87.5,90.0
"Bethel School District","Bethel High School","Non-Special Education",97.3,98.6,98.1,96.2
"Bethel School District","Bethel High School","Special Education",70.8,88.5,66.7,84.4
"Bloomfield School District","Bloomfield High School","Non-Special Education",85.3,94.3,96.4,96.7
"Bloomfield School District","Bloomfield High School","Special Education",75.0,87.0,90.9,64.3
"Bloomfield School District","Global Experience Magnet School","Non-Special Education","N/A","N/A",100.0,100.0
"Bloomfield School District","Global Experience Magnet School","Special Education","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","N/A","N/A","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","N/A","N/A"
"Bolton School District","Bolton High School","Non-Special Education","*",95.3,98.6,98.9
"Bolton School District","Bolton High School","Special Education","*",100.0,81.8,85.7
"Branford School District","Branford High School","Non-Special Education",97.6,95.6,94.5,92.9
"Branford School District","Branford High School","Special Education",82.1,96.4,90.3,90.2
"Bridgeport School District","Bassick High School","Non-Special Education",68.1,55.8,69.7,69.1
"Bridgeport School District","Bassick High School","Special Education",56.0,48.9,48.6,55.0
"Bridgeport School District","Central High School","Non-Special Education",79.4,86.4,83.8,84.5
