"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",150,121,80.7
"Avon School District","=""0040011""","Avon High School","=""0046111""",269,267,99.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",232,226,97.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",244,231,94.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",134,125,93.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",26,26,100.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",9,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",100,98,98.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",295,273,92.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",338,228,67.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",555,467,84.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",307,219,71.3
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",327,287,87.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",343,306,89.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",230,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",134,130,97.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",31,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",94,83,88.3
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",47,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",97,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",45,39,86.7
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",364,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",128,122,95.3
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",247,241,97.6
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",29,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",183,175,95.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",185,170,91.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",143,138,96.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",110,102,92.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",127,120,94.5
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",126,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",177,173,97.7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",111,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",143,138,96.5
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",155,152,98.1
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",145,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,203,98.1
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,133,94.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",182,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",129,127,98.4
