"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",27,17,63.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",183,143,78.1
"Avon School District","=""0040011""","Avon High School","=""0046111""",254,249,98.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",260,247,95.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",246,233,94.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",167,140,83.8
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",14,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",72,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",274,263,96.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",335,222,66.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",596,466,78.2
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",433,211,48.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",331,263,79.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",364,318,87.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",263,254,96.6
"Canton School District","=""0230011""","Canton High School","=""0236111""",118,113,95.8
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",117,105,89.7
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",61,51,83.6
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",102,94,92.2
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",364,355,97.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",144,137,95.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",250,237,94.8
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,33,86.8
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",151,140,92.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",191,182,95.3
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",101,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",123,100,81.3
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",119,113,95.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",182,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",129,115,89.1
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",157,147,93.6
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",135,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",111,109,98.2
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",192,179,93.2
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",199,193,97.0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",134,125,93.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",152,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",126,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",152,139,91.4
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",166,159,95.8
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",716,596,83.2
"Darien School District","=""0350011""","Darien High School","=""0356111""",326,317,97.2
"Derby School District","=""0370011""","Derby High School","=""0376111""",121,97,80.2
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",76,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",93,86,92.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",136,127,93.4
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",33,33,100.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",504,434,86.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",292,256,87.7
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",324,316,97.5
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",90,80,88.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",17,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",43,34,79.1
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",182,173,95.1
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",237,202,85.2
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",275,243,88.4
"Explorations District","=""2720013""","Explorations","=""2726113""",30,21,70.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",350,339,96.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",301,290,96.3
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",333,320,96.1
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",542,533,98.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",632,615,97.3
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",198,166,83.8
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",327,271,82.9
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",266,257,96.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",570,504,88.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",278,223,80.2
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",31,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",88,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",95,65,68.4
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",131,103,78.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",134,103,76.9
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",102,70,68.6
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",54,"*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",98,83,84.7
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,99,93.4
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",72,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",193,143,74.1
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",158,149,94.3
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",227,209,92.1
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",92,88,95.7
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,307,97.5
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",493,382,77.5
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",313,243,77.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",298,218,73.2
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",341,274,80.4
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",224,196,87.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",265,251,94.7
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",365,358,98.1
"Montville School District","=""0860011""","Montville High School","=""0866111""",194,171,88.1
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",369,313,84.8
