"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,0,0.0,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",150,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",269,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",232,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",244,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",134,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",26,0,0.0,0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",9,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",100,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",295,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",338,15,4.4,95,28.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",555,8,1.4,80,14.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",307,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",327,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",343,6,1.7,31,9.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",230,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",134,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",31,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",94,0,0.0,11,11.7
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",47,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",97,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",45,0,0.0,6,13.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",364,0,0.0,"*","*"
